ID1,ID2,Year,Category,Medal,Producer,Product,Subcategory,WID,Country
180,180,2018,West Country Style,🥉 Bronze,Rocquette Cider,Mouliere,,1234,Guernsey
181,181,2018,West Country Style,🥉 Bronze,Sandford Orchards,Shaky Bridge,,1243,England
182,182,2018,West Country Style,🥉 Bronze,St. Ives Cider,Kirthenwood Heritage,,1547,England
183,183,2018,West Country Style,🥉 Bronze,Thatchers Cider,Thatchers Gold,,1119,England
184,184,2018,West Country Style,🥉 Bronze,Thatchers Cider,Thatchers Green Goblin,,1119,England
185,185,2018,West Country Style,🥉 Bronze,Thatchers Cider,Thatchers Haze,,1119,England
186,186,2018,West Country Style,🥉 Bronze,Thatchers Cider,Thatchers Katy,,1119,England
187,187,2018,West Country Style,🥉 Bronze,Thatchers Cider,Thatchers Old Rascal,,1119,England
188,188,2018,West Country Style,🥉 Bronze,The Donhead Apple Company,Donhead Craft Cider,,3534,England
189,189,2018,West Country Style,🥉 Bronze,Ty Gwyn Cider,Ty Gwyn Medium Cider,,1253,Wales
190,190,2018,West Country Style,🥉 Bronze,Ty Gwyn Cider,Ty Gwyn Medium Dry Cider (Yarlington Mill),,1253,Wales
191,191,2018,West Country Style,🥉 Bronze,Ty Gwyn Cider,Ty Gwyn Medium Sweet Cider (Browns),,1253,Wales
192,192,2018,West Country Style,🥉 Bronze,Westons Cider,Mortimer's Orchard,,1131,England
193,193,2018,West Country Style,🥉 Bronze,Westons Cider,Wyld Wood Organic Cider,,1131,England
194,194,2018,Wood Aged Cider,🥈 Silver,Marks & Spencer,M&S Somerset Oak Matured Vintage cider,,3542,England
195,195,2018,Wood Aged Cider,🥈 Silver,Westons Cider,Waitrose Westons English Vintage Cider,,1131,England
196,196,2018,Wood Aged Cider,🥉 Bronze,Angry Orchard,Cuvee 2,,87,United States
197,197,2018,Wood Aged Cider,🥉 Bronze,Angry Orchard,Understood in Motion 02,,87,United States
198,198,2018,Wood Aged Cider,🥉 Bronze,Les Celliers Associés,Dan Armor Boisé,,1999,France
199,199,2018,Wood Aged Cider,🥉 Bronze,Longueville House,Longueville Mór,,1315,Ireland
200,200,2018,Wood Aged Cider,🥉 Bronze,Thatchers Cider,Thatchers Vintage 2016,,1119,England
201,2,2019,Flavoured Cider,🏆 Trophy,Les Celliers Associés,L'Authentique French Cider Ginger Lemon,Cider with Herbs & Spices,1999,France
202,3,2019,Flavoured Cider,🏆 Trophy,Winemaking Tasmania,Blushing Lady Sparkling Fruit Fusion,Cider with Fruits & Flowers,2592,Australia
203,4,2019,Flavoured Cider,🥇 Gold,Aston Manor Cider,"Friels Raspberry, Mint & Lime",Cider with Fruits & Flowers,3093,England
204,5,2019,Flavoured Cider,🥇 Gold,BlakStoc,Lazy Day Cucumber Cider,Cider with Fruits & Flowers,2812,Austria
205,6,2019,Flavoured Cider,🥈 Silver,Angry Orchard,Angry Orchard The Old Fashioned,Cider with Herbs & Spices,87,United States
206,7,2019,Flavoured Cider,🥈 Silver,BlakStoc,Buddha´s Hand Lemon Cider,Cider with Fruits & Flowers,2812,Austria
207,8,2019,Flavoured Cider,🥈 Silver,BlakStoc,Ginger for my Honey,Cider with Herbs & Spices,2812,Austria
208,9,2019,Flavoured Cider,🥈 Silver,BlakStoc,Quincy Jo & Hops Edition,Cider with Fruits & Flowers,2812,Austria
209,10,2019,Flavoured Cider,🥈 Silver,Celtic Marches,Clementine Perry,Cider with Fruits & Flowers,1403,England
210,11,2019,Flavoured Cider,🥈 Silver,Crafty Nectar Cider Co.,No.8,Cider with Fruits & Flowers,3537,England
211,12,2019,Flavoured Cider,🥈 Silver,Eva Group,The Good Cider of San Sebastian Wild Berry,Cider with Fruits & Flowers,2571,Spain
212,13,2019,Flavoured Cider,🥈 Silver,Everson's Cider,Everson's Pomegranate Cider,Cider with Fruits & Flowers,1303,South Africa
213,14,2019,Flavoured Cider,🥈 Silver,Hawkes,Doom & Bloom,Cider with Fruits & Flowers,2518,England
214,15,2019,Flavoured Cider,🥈 Silver,Sigelsberg Cider,Sigelsberg Cider Cierna Ribezla,Cider with Fruits & Flowers,3521,Slovakia
215,16,2019,Flavoured Cider,🥈 Silver,Saxby's Cider,Saxby's Rhubarb Cider,Cider with Fruits & Flowers,2148,England
216,17,2019,Flavoured Cider,🥈 Silver,Stonewell Cider,Rós,Cider with Fruits & Flowers,1265,Ireland
217,18,2019,Flavoured Cider,🥉 Bronze,Abavas,Abavas Minka,Cider with Fruits & Flowers,2363,Latvia
218,19,2019,Flavoured Cider,🥉 Bronze,Angry Orchard,Angry Orchard Knotty Pear,Cider with Fruits & Flowers,87,United States
219,20,2019,Flavoured Cider,🥉 Bronze,Aston Manor Cider,Kingstone Press Wild Berry,Cider with Fruits & Flowers,3093,England
220,21,2019,Flavoured Cider,🥉 Bronze,BlakStoc,Wild Tree Hoppy Cider,Cider with Hops,2812,Austria
221,22,2019,Flavoured Cider,🥉 Bronze,Celtic Marches,Toffy Dora,Cider with Herbs & Spices,1403,England
222,23,2019,Flavoured Cider,🥉 Bronze,Celtic Marches,Wild Berries,Cider with Fruits & Flowers,1403,England
223,24,2019,Flavoured Cider,🥉 Bronze,Oldfields Cider,Berry,Cider with Fruits & Flowers,3517,England
224,25,2019,Flavoured Cider,🥉 Bronze,Loxtonia Cider,Loxtonia Cider African Sundowner Baobab Flavoured Apple Cider,Cider with Fruits & Flowers,2503,South Africa
225,26,2019,Flavoured Cider,🥉 Bronze,Lyme Bay Winery,Ammonite Series with Hops,Cider with Hops,1198,England
226,27,2019,Flavoured Cider,🥉 Bronze,Lyme Bay Winery,Ammonite Series with Sour Cherry,Cider with Fruits & Flowers,1198,England
227,28,2019,Flavoured Cider,🥉 Bronze,Mac Ivors Cider,Mac Ivors Plum & Ginger Cider,Cider with Herbs & Spices,1457,Northern Ireland
228,29,2019,Flavoured Cider,🥉 Bronze,Marks & Spencer,Berry Cider,Cider with Fruits & Flowers,3542,England
229,30,2019,Flavoured Cider,🥉 Bronze,Marks & Spencer,Christmas Cider,Cider with Herbs & Spices,3542,England
230,31,2019,Flavoured Cider,🥉 Bronze,Marks & Spencer,Cornish Cloudy Farmhouse Cider with Sicilian Lemon,Cider with Fruits & Flowers,3542,England
231,32,2019,Flavoured Cider,🥉 Bronze,Marks & Spencer,Devon Farmhouse Cider with Elderflower Infusion,Cider with Fruits & Flowers,3542,England
232,33,2019,Flavoured Cider,🥉 Bronze,Marks & Spencer,Kentish Pip Katy Apple & Rhubarb Cider,Cider with Fruits & Flowers,3542,England
233,34,2019,Flavoured Cider,🥉 Bronze,Cider Magnetic Apple,Cider Magnetic Apple Chmelený,Cider with Hops,3516,Czechia
234,35,2019,Flavoured Cider,🥉 Bronze,Reverend Nat's Hard Cider,Reverend Nat’s Revival Hard Apple,Cider with Hops,514,United States
235,36,2019,Flavoured Cider,🥉 Bronze,Reverend Nat's Hard Cider,Reverend Nat’s Sacrilege Sour Cherry,Cider with Fruits & Flowers,514,United States
236,37,2019,Flavoured Cider,🥉 Bronze,Saxby's Cider,Saxby's Plum Cider,Cider with Fruits & Flowers,2148,England
237,38,2019,Flavoured Cider,🥉 Bronze,Sheppy's Cider,Sheppy's Cider with Raspberry,Cider with Fruits & Flowers,1118,England
238,39,2019,Flavoured Cider,🥉 Bronze,Tempted Cider,Tempted Strawberry Cider,Cider with Fruits & Flowers,1459,Northern Ireland
239,40,2019,Flavoured Cider,🥉 Bronze,Peacock Cider,Peacock Mango & Lime,Cider with Fruits & Flowers,3531,England
240,41,2019,Flavoured Cider,🥉 Bronze,Sidra El Gaitero,El Gaitero Red Grape Spanish Cider,Cider with Fruits & Flowers,1314,Spain
241,42,2019,Flavoured Cider,🥉 Bronze,Waitrose,Waitrose Elderflower Cider,Cider with Fruits & Flowers,3543,England
242,43,2019,Flavoured Cider,🥉 Bronze,Westons Cider,Mortimer's Orchard English Berry,Cider with Fruits & Flowers,1131,England
243,44,2019,Flavoured Cider,🥉 Bronze,Westons Cider,Rosie's Pig Raspberry Cloudy Cider with Cucumber,Cider with Fruits & Flowers,1131,England
244,45,2019,Ice Cider,🏆 Trophy,Zapiain,Bizi-Goxo 2015,,1172,Spain
245,46,2019,Ice Cider,🥈 Silver,Sidra El Gaitero,1898,,1314,Spain
246,47,2019,Ice Cider,🥉 Bronze,Angry Orchard,Angry Orchard Iceman,,87,United States
247,48,2019,Ice Cider,🥉 Bronze,Domaine Pinnacle,Domaine Pinnacle,,776,Canada
248,49,2019,Ice Cider,🥉 Bronze,Cidrerie Verger Hemmingford,Neige Premiere,,2392,Canada
249,50,2019,Low and No Alcohol Cider,🥈 Silver,Nikka Cidre,Nikka Cidre Rose,,1510,Japan
250,51,2019,Low and No Alcohol Cider,🥈 Silver,Sassy,Sassy Cidre Rosé,,2764,France
