Year,Style,Medal,Producer,Region,Product,Points,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
2021,Natural Basque Cider,🥉 Bronze,Izeta,Basque Country,Euskal sagardoa,31,Active,"<a href=""https://www.izeta.es/"">Website</a>","<a href=""https://www.facebook.com/IzetaSagardotegia"">Facebook</a>","<a href=""https://www.instagram.com/izetasagardotegia/"">Instagram</a>","<a href=""https://maps.google.com/?cid=5193661031886461877"">Google</a>","<a href=""https://www.yelp.com/map/izeta-sidreria-aia"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g897148-d4022936"">TripAdvisor</a>","<a href=""https://untappd.com/w/izeta-goikoa/226558"">Untappd</a>"
2021,Traditional Basque Cider,🥈 Silver,Gurutzeta,Basque Country,Gurutzeta Gorenak,41,Active,"<a href=""https://www.gurutzeta.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100063653015548"">Facebook</a>","<a href=""https://www.instagram.com/gurutzeta_sagar/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3267815348998464054"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g1064182-d3915865"">TripAdvisor</a>","<a href=""https://untappd.com/w/gurutzeta-sagardotegia/249476"">Untappd</a>"
2021,Traditional Basque Cider,🥈 Silver,Son of Man,United States,Son Of Man Sagardo,38,Active,"<a href=""https://www.sonofman.co/"">Website</a>",,"<a href=""https://www.instagram.com/sonofman.co/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/son-of-man-sagardo/428029"">Untappd</a>"
2021,Traditional Basque Cider,🥉 Bronze,Kupela,Basque Country,Sagardoa Kupela,37,Active,"<a href=""https://www.kupela.fr/"">Website</a>","<a href=""https://www.facebook.com/kupelasagardoa/"">Facebook</a>","<a href=""https://www.instagram.com/kupela_sagardoa_cidrebasque/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16174297296951175087"">Google</a>",,,"<a href=""https://untappd.com/w/kupela-sagardoa-cidre-basque/282187"">Untappd</a>"
2021,Traditional Basque Cider,🥉 Bronze,Kupela,Basque Country,Aingura Kupela,35,Active,"<a href=""https://www.kupela.fr/"">Website</a>","<a href=""https://www.facebook.com/kupelasagardoa/"">Facebook</a>","<a href=""https://www.instagram.com/kupela_sagardoa_cidrebasque/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16174297296951175087"">Google</a>",,,"<a href=""https://untappd.com/w/kupela-sagardoa-cidre-basque/282187"">Untappd</a>"
2021,Traditional Basque Cider,🥉 Bronze,Baldorba Naturel & Sagarraleku,Basque Country,Baldorba Naturel & Sagarraleku,34,Active,"<a href=""https://www.sidrasbaldorbanaturel.com/"">Website</a>","<a href=""https://www.facebook.com/sagarraleku/"">Facebook</a>","<a href=""https://www.instagram.com/sidrasbaldorbanaturel/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/baldorba-sagardotegia/336919"">Untappd</a>"
2021,Natural Asturian Cider,🥇 Gold,Sidra Menéndez,Asturias,Sidra natural,46,Active,"<a href=""https://www.sidramenendez.com/"">Website</a>","<a href=""https://www.facebook.com/sidramenendez/"">Facebook</a>","<a href=""https://www.instagram.com/sidra_menendez/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17564685525851225222"">Google</a>",,,"<a href=""https://untappd.com/w/sidra-menendez/55771"">Untappd</a>"
2021,Natural Asturian Cider,🥇 Gold,Sidra Trabanco,Asturias,Sidra Trabanco Selección,46,Active,"<a href=""https://www.sidratrabanco.com/"">Website</a>","<a href=""https://www.facebook.com/sidratrabanco/"">Facebook</a>","<a href=""https://www.instagram.com/sidratrabanco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8706552013547802387"">Google</a>",,,"<a href=""https://untappd.com/brewery/6382"">Untappd</a>"
2021,Natural Asturian Cider,🥇 Gold,Sidra Castañón,Asturias,Sidra Castañon,45,Active,"<a href=""https://sidracastanon.com/"">Website</a>","<a href=""https://www.facebook.com/sidracastanon/"">Facebook</a>","<a href=""https://www.instagram.com/sidracastanon/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3082307260151948865"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g2186312-d12246874"">TripAdvisor</a>","<a href=""https://untappd.com/w/llagar-sidra-casta-n/81481"">Untappd</a>"
2021,Natural Asturian Cider,🥈 Silver,Sidra Castañón,Asturias,Sidra Val de Boides,42,Active,"<a href=""https://sidracastanon.com/"">Website</a>","<a href=""https://www.facebook.com/sidracastanon/"">Facebook</a>","<a href=""https://www.instagram.com/sidracastanon/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3082307260151948865"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g2186312-d12246874"">TripAdvisor</a>","<a href=""https://untappd.com/w/llagar-sidra-casta-n/81481"">Untappd</a>"
