Year,Category,Medalist,Product,Award,Status,Region,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
2018,Flavoured Cider,Ramborn Cider Co.,Ramborn Cascade - Hopped Cider,🥉 Bronze,Active,Luxembourg,"<a href=""https://www.ramborn.com/"">Website</a>","<a href=""https://www.facebook.com/RambornUS/"">Facebook</a>","<a href=""https://www.instagram.com/rambornciderco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16691194016355154342"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g206525-d12591209"">TripAdvisor</a>"
2018,Flavoured Cider,Sandford Orchards,Fanny's Bramble,🥉 Bronze,Active,England,"<a href=""https://www.sandfordorchards.co.uk/"">Website</a>","<a href=""https://www.facebook.com/sandfordorchards"">Facebook</a>","<a href=""https://www.instagram.com/sandfordorchards/"">Instagram</a>","<a href=""https://maps.google.com/?cid=2784404680033020235"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g635675-d14758900"">TripAdvisor</a>"
2018,Flavoured Cider,Sandford Orchards,St Louis Dry Hopped Cider,🥉 Bronze,Active,England,"<a href=""https://www.sandfordorchards.co.uk/"">Website</a>","<a href=""https://www.facebook.com/sandfordorchards"">Facebook</a>","<a href=""https://www.instagram.com/sandfordorchards/"">Instagram</a>","<a href=""https://maps.google.com/?cid=2784404680033020235"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g635675-d14758900"">TripAdvisor</a>"
2018,Flavoured Cider,Kodas,Pööripäev,🥉 Bronze,Active,Estonia,"<a href=""https://kodas.ee/"">Website</a>","<a href=""https://www.facebook.com/kodasbrand"">Facebook</a>","<a href=""https://www.instagram.com/kodasbrand/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7164908846459777447"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g3296672-d25409720"">TripAdvisor</a>"
2018,Flavoured Cider,Eva Group,The Good Cider of San Sebastian Pear,🥉 Bronze,Active,Spain,"<a href=""https://www.evasa.com/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=546948451257487120"">Google</a>",,
2018,Flavoured Cider,Eva Group,The Good Cider of San Sebastian Strawberry,🥉 Bronze,Active,Spain,"<a href=""https://www.evasa.com/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=546948451257487120"">Google</a>",,
2018,Flavoured Cider,Westons Cider,Mortimer's Orchard English Berry,🥉 Bronze,Active,England,"<a href=""https://www.westons-cider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/WestonsCiderMill"">Facebook</a>","<a href=""https://www.instagram.com/westonscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11779156514256391794"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g186303-d218508"">TripAdvisor</a>"
2018,Flavoured Cider,Westons Cider,Rosie's Pig Raspberry Roller Sparkling Cloudy Cider,🥉 Bronze,Active,England,"<a href=""https://www.westons-cider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/WestonsCiderMill"">Facebook</a>","<a href=""https://www.instagram.com/westonscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11779156514256391794"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g186303-d218508"">TripAdvisor</a>"
2018,Ice Cider,Cold Hand Winery,Malus Danica 2014 - Cuvee Barrique,🥈 Silver,Active,Denmark,"<a href=""https://www.coldhandwinery.dk/"">Website</a>","<a href=""https://www.facebook.com/Cold-Hand-Winery-280396455326889/"">Facebook</a>","<a href=""https://www.instagram.com/cold_hand_winery/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8847115036999398343"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g227594-d11638093"">TripAdvisor</a>"
2018,Ice Cider,Brännland Cider,Brännland Iscider Barrique 2015 11%,🥉 Bronze,Active,Sweden,"<a href=""https://www.brannlandcider.se/"">Website</a>","<a href=""https://www.facebook.com/brannlandcider/"">Facebook</a>","<a href=""https://www.instagram.com/brannlandcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=2299367906990041003"">Google</a>",,
