Medalist,Region,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
Mountain Goat,Victoria,0,0,1,1,"<a href=""https://www.goatbeer.com.au/"">Website</a>","<a href=""https://www.facebook.com/goatbeer"">Facebook</a>","<a href=""https://www.instagram.com/goatbeer"">Instagram</a>","<a href=""https://maps.google.com/?cid=3590392710166252972"">Google</a>",,"<a href=""https://untappd.com/mountaingoatbeer"">Untappd</a>"
On the Shoulders of Giants,Western Australia,0,0,1,1,,"<a href=""https://www.facebook.com/giantscider/"">Facebook</a>",,,,"<a href=""https://untappd.com/w/manjimup-cider-co/422781"">Untappd</a>"
Rebel Cider,Victoria,0,0,1,1,,"<a href=""https://www.facebook.com/profile.php?id=100080154523886"">Facebook</a>","<a href=""https://www.instagram.com/rebel.cider/"">Instagram</a>",,,
Roleystone Brewing Co,Western Australia,0,0,1,1,"<a href=""https://www.roleystonebrewingco.com/"">Website</a>","<a href=""https://www.facebook.com/RoleystoneBrewingCo/"">Facebook</a>","<a href=""https://www.instagram.com/roleystonebrewingco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8363645666309319654"">Google</a>",,"<a href=""https://untappd.com/RoleystoneBrewingCo"">Untappd</a>"
Rusty Bike,South Australia,0,0,1,1,"<a href=""https://rustybike.com.au/"">Website</a>","<a href=""https://www.facebook.com/rustybike.com.au/"">Facebook</a>","<a href=""https://www.instagram.com/rustybikewines/"">Instagram</a>","<a href=""https://maps.google.com/?cid=2086180301930276726"">Google</a>",,"<a href=""https://untappd.com/w/rusty-bike-wines-ciders/424227"">Untappd</a>"
St Ronan's Cider,Victoria,0,0,1,1,"<a href=""https://stronanscider.com.au/"">Website</a>","<a href=""https://www.facebook.com/StRonansCider"">Facebook</a>","<a href=""https://www.instagram.com/st_ronans_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1347860416011573691"">Google</a>",,"<a href=""https://untappd.com/StRonansCider"">Untappd</a>"
Sutton's Juice Factory & Cidery,Queensland,0,0,1,1,"<a href=""https://suttonsfarm.com.au/"">Website</a>","<a href=""https://www.facebook.com/suttonsjuiceandcider/"">Facebook</a>","<a href=""https://www.instagram.com/suttonsfarm/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17202902084953727843"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g3666083-d1743635"">TripAdvisor</a>","<a href=""https://untappd.com/w/suttons-farm/169154"">Untappd</a>"
The Cidery,Western Australia,0,0,1,1,"<a href=""https://www.thecidery.com.au/"">Website</a>","<a href=""https://www.facebook.com/TheCideryBridgetown"">Facebook</a>","<a href=""https://www.instagram.com/thecidery_/"">Instagram</a>","<a href=""https://maps.google.com/?cid=5365209465918520059"">Google</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g488330-d3385747"">TripAdvisor</a>","<a href=""https://untappd.com/BlackwoodValleyBrewingCompany"">Untappd</a>"
The Wild Beyond,Western Australia,0,0,1,1,"<a href=""https://newleaforchard.com.au/"">Website</a>","<a href=""https://www.facebook.com/wildbeyondcider"">Facebook</a>",,,,
Zeffer,New Zealand,0,0,1,1,"<a href=""https://zeffer.co.nz/"">Website</a>","<a href=""https://www.facebook.com/zefferdrinks/"">Facebook</a>","<a href=""https://www.instagram.com/zefferdrinks/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13931145990495161499"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g255680-d15328989"">TripAdvisor</a>","<a href=""https://untappd.com/Zeffer"">Untappd</a>"
Total,,13,51,104,168,,,,,,
