Producer,Region,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
Restauracja Tabun,Poland,2,0,1,3,"<a href=""https://www.restauracjatabun.pl/"">Website</a>","<a href=""https://www.facebook.com/TABUNCYDR/"">Facebook</a>","<a href=""https://www.instagram.com/tabuncydr/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13556304642115496222"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g3222438-d2654599"">TripAdvisor</a>","<a href=""https://untappd.com/w/tabun/434136"">Untappd</a>"
Lepola Drinks,Finland,1,2,0,3,"<a href=""https://lepoladrinks.fi/"">Website</a>","<a href=""https://www.facebook.com/lepoladrinks/"">Facebook</a>","<a href=""https://www.instagram.com/lepola_drinks/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10912023971262858580"">Google</a>",,,"<a href=""https://untappd.com/w/lepola/401095"">Untappd</a>"
Kuartango,Basque Country,1,1,1,3,"<a href=""https://kuartangosagardotegia.com/"">Website</a>","<a href=""https://www.facebook.com/SidreKuartango/"">Facebook</a>","<a href=""https://www.instagram.com/sidrekuartango/"">Instagram</a>","<a href=""https://maps.google.com/?cid=6181081338579081204"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g25546823-d25546810"">TripAdvisor</a>","<a href=""https://untappd.com/w/sidreria-kuartango/438568"">Untappd</a>"
Sidra Niebla,Canary Islands,1,1,1,3,"<a href=""https://www.sidrasdecanarias.com/"">Website</a>",,"<a href=""https://www.instagram.com/sidras_niebla/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16349686505723006702"">Google</a>",,,
Sidra Riestra,Asturias,1,1,1,3,"<a href=""http://www.sidrariestra.com/"">Website</a>","<a href=""https://www.facebook.com/SidraRiestra"">Facebook</a>","<a href=""https://www.instagram.com/sidrariestra/"">Instagram</a>","<a href=""https://maps.google.com/?cid=2253085342105400787"">Google</a>",,,"<a href=""https://untappd.com/w/riestra/70601"">Untappd</a>"
Son of Man,United States,1,1,1,3,"<a href=""https://www.sonofman.co/"">Website</a>",,"<a href=""https://www.instagram.com/sonofman.co/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/son-of-man-sagardo/428029"">Untappd</a>"
Hardangergutane,Norway,1,0,2,3,"<a href=""https://hardangergutane.no/"">Website</a>","<a href=""https://www.facebook.com/Hardangergutane/"">Facebook</a>","<a href=""https://www.instagram.com/hardangergutane/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10940983309801750674"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g2328851-d23478417"">TripAdvisor</a>","<a href=""https://untappd.com/w/hardangergutane/429679"">Untappd</a>"
Vander Mill,United States,1,0,2,3,"<a href=""http://vandermill.com/"">Website</a>","<a href=""https://www.facebook.com/VanderMillGR"">Facebook</a>","<a href=""https://www.instagram.com/vandermill/"">Instagram</a>","<a href=""https://maps.google.com/?cid=6214407049389872858"">Google</a>","<a href=""https://www.yelp.com/biz/vander-mill-grand-rapids-grand-rapids-5"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g42256-d10325970"">TripAdvisor</a>","<a href=""https://untappd.com/w/vander-mill/8388"">Untappd</a>"
Alorrenea,Basque Country,0,3,0,3,"<a href=""https://alorrenea.com/"">Website</a>","<a href=""https://www.facebook.com/Alorrenea/"">Facebook</a>","<a href=""https://www.instagram.com/alorrenea/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7369065934381285009"">Google</a>","<a href=""https://www.yelp.com/biz/alorrenea-astigarraga"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g1064182-d3809108"">TripAdvisor</a>","<a href=""https://untappd.com/w/sidreria-alorrena/64396"">Untappd</a>"
Ulvik Frukt & Cideri,Norway,0,2,1,3,"<a href=""http://www.hakastadsider.no/"">Website</a>","<a href=""https://www.facebook.com/pages/Ulvik-Frukt-Cideri/191311970916027"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=8381380851022975775"">Google</a>",,,"<a href=""https://untappd.com/brewery/60198"">Untappd</a>"
Cider Sekt,Czechia,0,1,2,3,"<a href=""https://www.cidersekt.cz/"">Website</a>","<a href=""https://www.facebook.com/cidertalk/"">Facebook</a>","<a href=""https://www.instagram.com/cidertalk/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1744130511388226457"">Google</a>",,,"<a href=""https://untappd.com/w/provoco/396367"">Untappd</a>"
Elegast Cidery,Netherlands,0,1,2,3,"<a href=""https://elegastcider.nl/"">Website</a>","<a href=""https://www.facebook.com/elegastcidery/"">Facebook</a>","<a href=""https://www.instagram.com/elegast_cidery/"">Instagram</a>","<a href=""https://maps.google.com/?cid=5936408747857287023"">Google</a>",,,"<a href=""https://untappd.com/ElegastCidery"">Untappd</a>"
Mostheuriger Hansbauer,Austria,0,1,2,3,"<a href=""https://www.hansbauer.at/"">Website</a>",,"<a href=""https://www.instagram.com/mostheuriger_hansbauer/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17616529891212169565"">Google</a>",,,
Cydrownia Zywer,Poland,0,0,3,3,"<a href=""https://zywer.pl/"">Website</a>","<a href=""https://www.facebook.com/CydrowniaZywer"">Facebook</a>","<a href=""https://www.instagram.com/cydrowniazywer/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10041242298570436703"">Google</a>",,,"<a href=""https://untappd.com/cydrowniazywer"">Untappd</a>"
Sidra Fran,Asturias,1,1,0,2,"<a href=""https://sidrafran.es/"">Website</a>",,"<a href=""https://www.instagram.com/sidrafran1918/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15672106953833908893"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g2437300-d7244547"">TripAdvisor</a>","<a href=""https://untappd.com/w/sidra-fran/85954"">Untappd</a>"
Sidrería TenCai,Chile,1,1,0,2,"<a href=""https://tencaisidra.cl/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100063550781151"">Facebook</a>","<a href=""https://www.instagram.com/tencaisidra/"">Instagram</a>","<a href=""https://maps.google.com/?cid=5739971672897016755"">Google</a>",,,"<a href=""https://untappd.com/tencaisidra"">Untappd</a>"
Nua Cider,Portugal,1,0,1,2,"<a href=""https://www.nuacider.com/"">Website</a>","<a href=""https://www.facebook.com/cidernua/"">Facebook</a>","<a href=""https://www.instagram.com/CiderNua"">Instagram</a>",,,,"<a href=""https://untappd.com/w/nua-cider/462924"">Untappd</a>"
Bizio,Basque Country,0,2,0,2,,"<a href=""https://www.facebook.com/bizio.eus/"">Facebook</a>","<a href=""https://www.instagram.com/bizio.eus/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10634023042683294263"">Google</a>",,,"<a href=""https://untappd.com/w/bizio/517614"">Untappd</a>"
Lieglhof Familie Zarl,Austria,0,1,1,2,"<a href=""https://www.lieglhof.com/"">Website</a>","<a href=""https://www.facebook.com/gutesvomlieglhof/"">Facebook</a>","<a href=""https://www.instagram.com/lieglhof/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9123177938973924997"">Google</a>",,,
Petritegi,Basque Country,0,1,1,2,"<a href=""https://www.petritegi.com/"">Website</a>","<a href=""https://www.facebook.com/Petritegi/"">Facebook</a>","<a href=""https://www.instagram.com/petritegi"">Instagram</a>","<a href=""https://maps.google.com/?cid=16425101977693923721"">Google</a>","<a href=""https://www.yelp.com/biz/petritegi-astigarraga"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g1064182-d2266030"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/51639"">Untappd</a>"
Sidra Alfa,Portugal,0,1,1,2,"<a href=""https://sidraalfa.pt/"">Website</a>","<a href=""https://www.facebook.com/Sidralfa1/"">Facebook</a>","<a href=""https://www.instagram.com/sidra_alfa/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/sidra-alfa/545661"">Untappd</a>"
Sidra La Borda de Basajaun,Basque Country,0,1,1,2,,"<a href=""https://www.facebook.com/sidra.basajaun"">Facebook</a>","<a href=""https://www.instagram.com/sidra.labordadebasajaun/"">Instagram</a>",,,,
Sidra La Naveta,Asturias,0,0,2,2,"<a href=""https://lanaveta.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100063497946147"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=18265458060195810621"">Google</a>",,,"<a href=""https://untappd.com/w/la-naveta/288596"">Untappd</a>"
