Year,Category,Medalist,Product,Award,Status,Region,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
2015,Ice Cider,Sidra Panizales,Sidra de Hielo Panizales,🥉 Bronze,Active,Asturias,"<a href=""https://sidrapanizales.com/"">Website</a>","<a href=""https://www.facebook.com/panizales.sidra"">Facebook</a>","<a href=""https://www.instagram.com/sidrapanizales/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16258480851124885832"">Google</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g775263-d7621234"">TripAdvisor</a>","<a href=""https://untappd.com/w/llagar-panizales/152401"">Untappd</a>"
2015,Cider Spirits,Casería San Juan del Obispo,Aguardiente Salvador del Obispo Roble,🥇 Gold,Active,Asturias,"<a href=""https://www.caseriasanjuandelobispo.com/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=13956526212503892929"">Google</a>",,"<a href=""https://untappd.com/w/caseria-san-juan-del-obispo/285141"">Untappd</a>"
2015,Fruit Cider,Sidra Panizales,Hera Membrillo,🥇 Gold,Active,Asturias,"<a href=""https://sidrapanizales.com/"">Website</a>","<a href=""https://www.facebook.com/panizales.sidra"">Facebook</a>","<a href=""https://www.instagram.com/sidrapanizales/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16258480851124885832"">Google</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g775263-d7621234"">TripAdvisor</a>","<a href=""https://untappd.com/w/llagar-panizales/152401"">Untappd</a>"
2016,Semi-Dry Still Cider,Brännland Cider,Pernilla Perle 2015,🥇 Gold,Active,Sweden,"<a href=""https://www.brannlandcider.se/"">Website</a>","<a href=""https://www.facebook.com/brannlandcider/"">Facebook</a>","<a href=""https://www.instagram.com/brannlandcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=2299367906990041003"">Google</a>",,"<a href=""https://untappd.com/brewery/83843"">Untappd</a>"
2016,Semi-Dry Still Cider,Araújo Monte,Corrupia,🥈 Silver,Inactive,Portugal,,,,,,
2016,Semi-Dry Still Cider,Valduro,Valduro,🥉 Bronze,Inactive,Asturias,,,,,,
2016,Rosé Cider,Écusson,Écusson Rosé,🥇 Gold,Active,France,"<a href=""https://www.cidre-ecusson.com/"">Website</a>","<a href=""https://www.facebook.com/CidreEcusson/"">Facebook</a>","<a href=""https://www.instagram.com/cidreecusson/"">Instagram</a>",,,"<a href=""https://untappd.com/w/cidres-ecusson/15641"">Untappd</a>"
2016,Rosé Cider,Sidra Mayador,Mayador Rossé,🥈 Silver,Active,Asturias,"<a href=""http://www.mayador.com/"">Website</a>","<a href=""https://www.facebook.com/sidramayadorcider"">Facebook</a>","<a href=""https://www.instagram.com/sidramayador/"">Instagram</a>","<a href=""https://maps.google.com/?cid=6886369759358960464"">Google</a>",,"<a href=""https://untappd.com/SidraMayador"">Untappd</a>"
2016,Rosé Cider,Sidra Viuda de Angelón,Pomar Rossé,🥉 Bronze,Active,Asturias,"<a href=""http://www.sidraviudaangelonpomar.es/"">Website</a>","<a href=""https://www.facebook.com/sidrapomar.viudaangelon/"">Facebook</a>","<a href=""https://www.instagram.com/Sidraviudaangelon/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13173562328637195239"">Google</a>",,"<a href=""https://untappd.com/w/viuda-de-angela3n/142823"">Untappd</a>"
2016,Perry,Écusson,Écusson Poiré,🥇 Gold,Active,France,"<a href=""https://www.cidre-ecusson.com/"">Website</a>","<a href=""https://www.facebook.com/CidreEcusson/"">Facebook</a>","<a href=""https://www.instagram.com/cidreecusson/"">Instagram</a>",,,"<a href=""https://untappd.com/w/cidres-ecusson/15641"">Untappd</a>"
2016,Perry,Jörg Geiger,Poiré Artisan,🥈 Silver,Active,Germany,"<a href=""https://www.manufaktur-joerg-geiger.de/"">Website</a>","<a href=""https://www.facebook.com/manufakturjoerggeiger/"">Facebook</a>","<a href=""https://www.instagram.com/manufakturjoerggeiger/"">Instagram</a>","<a href=""https://maps.google.com/?cid=908271853334307402"">Google</a>",,"<a href=""https://untappd.com/w/manufaktur-jorg-geiger/270857"">Untappd</a>"
