Year,Class,Medalist,Product,Award,Score,Status,Region,Country,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
2012,Bottle Conditioned / Methode Champenoise Cider,Henry of Harcourt,Black Fox Cider,🥉 Bronze,,Active,Victoria,Australia,"<a href=""https://henrycider.com/"">Website</a>","<a href=""https://www.facebook.com/henrycider/"">Facebook</a>","<a href=""https://www.instagram.com/henrycider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8940355932051611367"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g552178-d8783234"">TripAdvisor</a>","<a href=""https://untappd.com/w/henry-of-harcourt/5374"">Untappd</a>"
2012,Bottle Conditioned / Methode Champenoise Cider,St Ronan's Cider,Methode Traditionelle Apple Cider,🥉 Bronze,,Active,Victoria,Australia,"<a href=""https://stronanscider.com.au/"">Website</a>","<a href=""https://www.facebook.com/StRonansCider"">Facebook</a>","<a href=""https://www.instagram.com/st_ronans_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1347860416011573691"">Google</a>",,,"<a href=""https://untappd.com/StRonansCider"">Untappd</a>"
2012,Bottle Conditioned / Methode Champenoise Cider,Kellybrook Winery,Kellys Jazz Methode,🥉 Bronze,,Active,Victoria,Australia,"<a href=""https://www.kellybrookwinery.com.au/"">Website</a>","<a href=""https://www.facebook.com/kellybrookwinery"">Facebook</a>","<a href=""https://www.instagram.com/kellybrookwinery"">Instagram</a>","<a href=""https://maps.google.com/?cid=11638840488142948775"">Google</a>","<a href=""https://www.yelp.com/biz/kellybrook-winery-wonga-park-3"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1982951-d21063415"">TripAdvisor</a>","<a href=""https://untappd.com/w/kellybrook-winery/306274"">Untappd</a>"
2012,Bottle Conditioned / Methode Champenoise Cider,Small Acres Cyder,Small Acres Sparkling 2010,🥉 Bronze,,Active,New South Wales,Australia,"<a href=""https://www.smallacrescyder.com.au/"">Website</a>","<a href=""https://www.facebook.com/SmallAcresCyder"">Facebook</a>","<a href=""https://www.instagram.com/smallacrescyder"">Instagram</a>","<a href=""https://maps.google.com/?cid=1497457670374953580"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g2642455-d5991203"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/14584"">Untappd</a>"
2012,Bottle Conditioned / Methode Champenoise Cider,Napoleone Cider,Methode Traditionnelle Apple Cider,🥉 Bronze,,Active,Victoria,Australia,"<a href=""https://napoleone.com.au/"">Website</a>","<a href=""https://www.facebook.com/napoleoneorchardbar"">Facebook</a>","<a href=""https://www.instagram.com/napoleonecider"">Instagram</a>","<a href=""https://maps.google.com/?cid=3472985488113617215"">Google</a>","<a href=""https://www.yelp.com/biz/napoleone-brewery-and-ciderhouse-coldstream"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1205102-d7980976"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/3800"">Untappd</a>"
2012,Bottle Conditioned / Methode Champenoise Cider,Napoleone Cider,Methode Traditionnelle Early Disgorged Dry Apple Cider,🥉 Bronze,,Active,Victoria,Australia,"<a href=""https://napoleone.com.au/"">Website</a>","<a href=""https://www.facebook.com/napoleoneorchardbar"">Facebook</a>","<a href=""https://www.instagram.com/napoleonecider"">Instagram</a>","<a href=""https://maps.google.com/?cid=3472985488113617215"">Google</a>","<a href=""https://www.yelp.com/biz/napoleone-brewery-and-ciderhouse-coldstream"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1205102-d7980976"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/3800"">Untappd</a>"
2012,Dry Perry,Lobo Cider,Lobo Dry Perry,🥉 Bronze,,Active,South Australia,Australia,"<a href=""https://www.lobocider.com.au/"">Website</a>","<a href=""https://www.facebook.com/LOBOcider/"">Facebook</a>","<a href=""https://www.instagram.com/lobocider"">Instagram</a>",,,,"<a href=""https://untappd.com/brewery/8446"">Untappd</a>"
2012,Medium Perry,The Hills Cider Company,Hills Cider – Pear Traditional,🥈 Silver,,Active,South Australia,Australia,,"<a href=""https://www.facebook.com/thehillscidercompany"">Facebook</a>","<a href=""https://www.instagram.com/thehillscidercompany/"">Instagram</a>","<a href=""https://maps.google.com/?cid=40048064327732560"">Google</a>",,,"<a href=""https://untappd.com/thehillscidercompany"">Untappd</a>"
2012,Medium Perry,Little Creatures,Pipsqueak Pear Cider,🥉 Bronze,,Active,Western Australia,Australia,"<a href=""https://littlecreatures.com.au/"">Website</a>","<a href=""https://www.facebook.com/littlecreaturesbrewing"">Facebook</a>","<a href=""https://www.instagram.com/littlecreaturesbrewing/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1864054459948406266"">Google</a>","<a href=""https://www.yelp.com/biz/little-creatures-brewery-fremantle"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g285726-d778314"">TripAdvisor</a>","<a href=""https://untappd.com/LittleCreaturesBrewing"">Untappd</a>"
2012,Medium Perry,Small Acres Cyder,Small Acres Poire,🥉 Bronze,,Active,New South Wales,Australia,"<a href=""https://www.smallacrescyder.com.au/"">Website</a>","<a href=""https://www.facebook.com/SmallAcresCyder"">Facebook</a>","<a href=""https://www.instagram.com/smallacrescyder"">Instagram</a>","<a href=""https://maps.google.com/?cid=1497457670374953580"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g2642455-d5991203"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/14584"">Untappd</a>"
2012,Sweet Perry,Frank's Cider,Franks’ Summer Pear Cider,🥉 Bronze,,Active,Tasmania,Australia,"<a href=""https://www.frankscider.com.au/"">Website</a>","<a href=""https://www.facebook.com/FranksCider"">Facebook</a>","<a href=""https://www.instagram.com/frankscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12281895632138757991"">Google</a>","<a href=""https://www.yelp.com/biz/franks-cider-bar-and-cafe-franklin"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g504298-d7270183"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/66943"">Untappd</a>"
2012,Bottle Conditioned / Methode Champenoise Perry,St Ronan's Cider,Methode Traditionelle Pear Cider,🥇 Gold,,Active,Victoria,Australia,"<a href=""https://stronanscider.com.au/"">Website</a>","<a href=""https://www.facebook.com/StRonansCider"">Facebook</a>","<a href=""https://www.instagram.com/st_ronans_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1347860416011573691"">Google</a>",,,"<a href=""https://untappd.com/StRonansCider"">Untappd</a>"
2012,Bottle Conditioned / Methode Champenoise Perry,Napoleone Cider,Methode Traditionnelle Pear Cider,🥈 Silver,,Active,Victoria,Australia,"<a href=""https://napoleone.com.au/"">Website</a>","<a href=""https://www.facebook.com/napoleoneorchardbar"">Facebook</a>","<a href=""https://www.instagram.com/napoleonecider"">Instagram</a>","<a href=""https://maps.google.com/?cid=3472985488113617215"">Google</a>","<a href=""https://www.yelp.com/biz/napoleone-brewery-and-ciderhouse-coldstream"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1205102-d7980976"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/3800"">Untappd</a>"
2012,Dry Cider made using water and/or sugar in production,Westons Cider,Old Rosie Scrumpy (carbonated),🥉 Bronze,,Active,Herefordshire,England,"<a href=""https://www.westons-cider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/WestonsCiderMill"">Facebook</a>","<a href=""https://www.instagram.com/westonscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11779156514256391794"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g186303-d218508"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/6135"">Untappd</a>"
