Year,Class,Medalist,Product,Country,Medal,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,First,Last,Years,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
2015,Speciality Cider or Perry,Aspall,2013 Vintage Imperial Cyder,England,🥈 Silver,0,1,1,2,2015,2019,2,Active,"<a href=""https://www.aspall.co.uk/"">Website</a>","<a href=""https://www.facebook.com/AspallUK/"">Facebook</a>","<a href=""https://www.instagram.com/aspalluk/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12281573289882642327"">Google</a>",,,"<a href=""https://untappd.com/brewery/3468"">Untappd</a>"
2015,Speciality Cider or Perry,Angry Orchard,Angry Orchard Cinnful,United States,🥉 Bronze,4,2,5,11,2015,2021,4,Active,"<a href=""https://www.angryorchard.com/"">Website</a>","<a href=""https://www.facebook.com/AngryOrchard/"">Facebook</a>","<a href=""https://www.instagram.com/angryorchard/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17467507983407382578"">Google</a>","<a href=""https://www.yelp.com/biz/angry-orchard-walden-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g48788-d10266026"">TripAdvisor</a>","<a href=""https://untappd.com/w/angry-orchard-cider-company/16455"">Untappd</a>"
2017,Cider Apple Class - Dry,Aston Manor Cider,Knights Malvern,England,🥇 Gold,1,1,0,2,2017,2017,1,Active,"<a href=""https://www.astonmanor.co.uk/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=8328306569280299730"">Google</a>",,,"<a href=""https://untappd.com/AstonManorBreweryCo"">Untappd</a>"
2017,Cider Apple Class - Dry,Brothers Drinks,Cloudy Premium Cider,England,🥈 Silver,0,1,0,1,2017,2017,1,Active,"<a href=""https://brotherscider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/BrothersCider"">Facebook</a>","<a href=""https://www.instagram.com/brotherscider"">Instagram</a>","<a href=""https://maps.google.com/?cid=1454211960614674654"">Google</a>",,,"<a href=""https://untappd.com/BrothersCider"">Untappd</a>"
2017,Cider Apple Class - Dry,Angry Orchard,Edu,United States,🥉 Bronze,4,2,5,11,2015,2021,4,Active,"<a href=""https://www.angryorchard.com/"">Website</a>","<a href=""https://www.facebook.com/AngryOrchard/"">Facebook</a>","<a href=""https://www.instagram.com/angryorchard/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17467507983407382578"">Google</a>","<a href=""https://www.yelp.com/biz/angry-orchard-walden-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g48788-d10266026"">TripAdvisor</a>","<a href=""https://untappd.com/w/angry-orchard-cider-company/16455"">Untappd</a>"
2017,Cider Apple Class - Medium,Les Celliers Associés,Galipette Brut,France,🥇 Gold,1,0,1,2,2015,2017,2,Active,"<a href=""https://www.valderance.com/"">Website</a>","<a href=""https://www.facebook.com/ValdeRance/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=7883069809343472545"">Google</a>",,,"<a href=""https://untappd.com/LesCelliersAssocis"">Untappd</a>"
2017,Cider Apple Class - Medium,Aston Manor Cider,Malvern Gold,England,🥈 Silver,1,1,0,2,2017,2017,1,Active,"<a href=""https://www.astonmanor.co.uk/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=8328306569280299730"">Google</a>",,,"<a href=""https://untappd.com/AstonManorBreweryCo"">Untappd</a>"
2017,Cider Apple Class - Medium,Rocquette Cider,Traditional Rocquette Cider,Guernsey,🥉 Bronze,0,0,1,1,2017,2017,1,Active,"<a href=""https://www.rocquettecider.com/"">Website</a>","<a href=""https://www.facebook.com/RocquetteCider"">Facebook</a>","<a href=""https://www.instagram.com/rocquettecider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7637493415474621859"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g551619-d10488931"">TripAdvisor</a>","<a href=""https://untappd.com/w/rocquette-cider/64555"">Untappd</a>"
2017,Cider Apple Class - Sweet,Zeffer,Cidre Demi Sec,New Zealand,🥇 Gold,1,1,0,2,2017,2019,2,Active,"<a href=""https://zeffer.co.nz/"">Website</a>","<a href=""https://www.facebook.com/zefferdrinks/"">Facebook</a>","<a href=""https://www.instagram.com/zefferdrinks/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13931145990495161499"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g255680-d15328989"">TripAdvisor</a>","<a href=""https://untappd.com/Zeffer"">Untappd</a>"
2017,Cider Apple Class - Sweet,Kelterei Heil,Cooper's Original,Germany,🥈 Silver,0,2,0,2,2017,2021,2,Active,"<a href=""https://kelterei-heil.de/"">Website</a>","<a href=""https://www.facebook.com/keltereiheil/"">Facebook</a>","<a href=""https://www.instagram.com/keltereiheil"">Instagram</a>","<a href=""https://maps.google.com/?cid=18431477139160593371"">Google</a>",,,"<a href=""https://untappd.com/brewery/33255"">Untappd</a>"
