Medalist,Region,🏆 Premium,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,First,Last,Years,Status,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
Tālava,Latvia,2,1,4,4,11,2021,2024,4,Active,"<a href=""https://www.talava.lv/"">Website</a>","<a href=""https://www.facebook.com/talavassidrs"">Facebook</a>","<a href=""https://www.instagram.com/talavas_sidrs/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16414834196985036378"">Google</a>",,"<a href=""https://untappd.com/TalavasSidrs"">Untappd</a>"
Sidra La Naveta,Asturias,1,3,4,3,11,2017,2023,7,Active,"<a href=""https://lanaveta.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100063497946147"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=18265458060195810621"">Google</a>",,"<a href=""https://untappd.com/w/la-naveta/288596"">Untappd</a>"
Petritegi,Basque Country,1,3,5,1,10,2021,2024,4,Active,"<a href=""https://www.petritegi.com/"">Website</a>","<a href=""https://www.facebook.com/Petritegi/"">Facebook</a>","<a href=""https://www.instagram.com/petritegi"">Instagram</a>","<a href=""https://maps.google.com/?cid=16425101977693923721"">Google</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g1064182-d2266030"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/51639"">Untappd</a>"
Cidérka,Czechia,0,3,5,2,10,2020,2024,5,Active,"<a href=""https://www.ciderka.cz/"">Website</a>","<a href=""https://www.facebook.com/ciderka.cz"">Facebook</a>","<a href=""https://www.instagram.com/ciderka.cz/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4045068491840478725"">Google</a>",,"<a href=""https://untappd.com/w/ciderka/463341"">Untappd</a>"
Naturcidre,Germany,1,2,4,2,9,2022,2024,3,Active,"<a href=""https://www.naturcidre.de/"">Website</a>",,"<a href=""https://www.instagram.com/cidre_urs/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9508737086378177205"">Google</a>",,"<a href=""https://untappd.com/w/naturcidre-urs-renninger/460255"">Untappd</a>"
Abuls,Latvia,0,1,5,3,9,2020,2024,4,Active,"<a href=""https://www.abuls.lv/"">Website</a>","<a href=""https://www.facebook.com/sidrsAbuls/"">Facebook</a>","<a href=""https://www.instagram.com/abuls_sidrs/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12371654123090416644"">Google</a>",,"<a href=""https://untappd.com/Abuls"">Untappd</a>"
Mistérios da Quinta,Portugal,0,0,5,4,9,2023,2024,2,Active,,,"<a href=""https://www.instagram.com/sidrariaprazeres/"">Instagram</a>",,,"<a href=""https://untappd.com/w/misterios-da-quinta-unipessoal-lda/530615"">Untappd</a>"
Sidra Carral,León,0,0,4,5,9,2016,2024,7,Active,,"<a href=""https://www.facebook.com/sidranaturalcarral/"">Facebook</a>","<a href=""https://www.instagram.com/sidracarral/"">Instagram</a>","<a href=""https://maps.google.com/?cid=2695880588601500201"">Google</a>",,"<a href=""https://untappd.com/w/sidra-natural-carral/296674"">Untappd</a>"
Sidra Fran,Asturias,2,2,2,2,8,2021,2024,4,Active,"<a href=""https://sidrafran.es/"">Website</a>",,"<a href=""https://www.instagram.com/sidrafran1918/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15672106953833908893"">Google</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g2437300-d7244547"">TripAdvisor</a>","<a href=""https://untappd.com/w/sidra-fran/85954"">Untappd</a>"
Baldorba Naturel & Sagarraleku,Basque Country,0,1,5,2,8,2022,2024,3,Active,"<a href=""https://www.sidrasbaldorbanaturel.com/"">Website</a>","<a href=""https://www.facebook.com/sagarraleku/"">Facebook</a>","<a href=""https://www.instagram.com/sidrasbaldorbanaturel/"">Instagram</a>",,,"<a href=""https://untappd.com/w/baldorba-sagardotegia/336919"">Untappd</a>"
