ID,Year,Category,Medalist,Product,Award,WID,Status,Region,Country,Region/Country,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
422,2021,Ice Cider,Llagares Valverán,Valverán 20 Manzanas,🏆 Premium,1471,Active,Asturias,Spain,Asturias,"<a href=""https://llagaresvalveran.com/"">Website</a>","<a href=""https://www.facebook.com/masaveubodegas/"">Facebook</a>","<a href=""https://www.instagram.com/masaveubodegas/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10125751207643631112"">Google</a>",,"<a href=""https://untappd.com/w/valveran/55774"">Untappd</a>"
423,2021,Ice Cider,Sidra Panizales,Olivia,🥇 Gold,1519,Active,Asturias,Spain,Asturias,"<a href=""https://sidrapanizales.com/"">Website</a>","<a href=""https://www.facebook.com/panizales.sidra"">Facebook</a>","<a href=""https://www.instagram.com/sidrapanizales/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16258480851124885832"">Google</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g775263-d7621234"">TripAdvisor</a>","<a href=""https://untappd.com/w/llagar-panizales/152401"">Untappd</a>"
424,2021,Ice Cider,Sidra Panizales,Sidra de Hielo Panizales,🥇 Gold,1519,Active,Asturias,Spain,Asturias,"<a href=""https://sidrapanizales.com/"">Website</a>","<a href=""https://www.facebook.com/panizales.sidra"">Facebook</a>","<a href=""https://www.instagram.com/sidrapanizales/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16258480851124885832"">Google</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g775263-d7621234"">TripAdvisor</a>","<a href=""https://untappd.com/w/llagar-panizales/152401"">Untappd</a>"
425,2021,Ice Cider,Rossbach Cider,Sidra de Hielo with Red Fruits,🥈 Silver,1542,Inactive,Karlovy Vary,Czechia,Czechia,"<a href=""http://www.rossbach.cz/"">Website</a>","<a href=""https://www.facebook.com/rossbachcider"">Facebook</a>",,,,"<a href=""https://untappd.com/w/rossbach/174351"">Untappd</a>"
426,2021,Ice Cider,Sidra Cortina,Sidra de Hielo Cortina,🥉 Bronze,1472,Active,Asturias,Spain,Asturias,"<a href=""https://www.sidracortina.com/"">Website</a>","<a href=""https://www.facebook.com/sidracortina/"">Facebook</a>","<a href=""https://instagram.com/sidracortina"">Instagram</a>","<a href=""https://maps.google.com/?cid=14248814769091122504"">Google</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g19842666-d985244"">TripAdvisor</a>","<a href=""https://untappd.com/w/sidra-cortina-coro/50162"">Untappd</a>"
427,2021,Perry,Jörg Geiger,1797 C.-Bratbirnen Alkoholfrei,🏆 Premium,1322,Active,Baden-Württemberg,Germany,Germany,"<a href=""https://www.manufaktur-joerg-geiger.de/"">Website</a>","<a href=""https://www.facebook.com/manufakturjoerggeiger/"">Facebook</a>","<a href=""https://www.instagram.com/manufakturjoerggeiger/"">Instagram</a>","<a href=""https://maps.google.com/?cid=908271853334307402"">Google</a>",,"<a href=""https://untappd.com/w/manufaktur-jorg-geiger/270857"">Untappd</a>"
428,2021,Perry,Elegast Cidery,Wild Perry,🥈 Silver,2660,Active,Utrecht,Netherlands,Netherlands,"<a href=""https://elegastcider.nl/"">Website</a>","<a href=""https://www.facebook.com/elegastcidery/"">Facebook</a>","<a href=""https://www.instagram.com/elegast_cidery/"">Instagram</a>","<a href=""https://maps.google.com/?cid=5936408747857287023"">Google</a>",,"<a href=""https://untappd.com/ElegastCidery"">Untappd</a>"
429,2021,Perry,Sidrada,Perada Artesanal,🥈 Silver,3595,Active,Leiria,Portugal,Portugal,"<a href=""https://sidrada.pt/"">Website</a>","<a href=""https://www.facebook.com/sidra.sidrada/"">Facebook</a>","<a href=""https://www.instagram.com/sidra.sidrada/"">Instagram</a>",,,"<a href=""https://untappd.com/Sidrada"">Untappd</a>"
430,2021,Cider Liqueur,Jörg Geiger,BP Licor de Sidra,🏆 Premium,1322,Active,Baden-Württemberg,Germany,Germany,"<a href=""https://www.manufaktur-joerg-geiger.de/"">Website</a>","<a href=""https://www.facebook.com/manufakturjoerggeiger/"">Facebook</a>","<a href=""https://www.instagram.com/manufakturjoerggeiger/"">Instagram</a>","<a href=""https://maps.google.com/?cid=908271853334307402"">Google</a>",,"<a href=""https://untappd.com/w/manufaktur-jorg-geiger/270857"">Untappd</a>"
431,2021,Cider Liqueur,Maley,Lecristallier,🥇 Gold,1517,Active,Aosta Valley,Italy,Italy,"<a href=""https://www.maleymontblanc.com/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=94166741695887894"">Google</a>",,"<a href=""https://untappd.com/brewery/29291"">Untappd</a>"
