Producer,Department,🥇 Or,🥈 Argent,🥉 Bronze,Total,First,Last,Years,Status,Website,Facebook,Instagram,Google,TripAdvisor,Untappd,Latitude,Longitude,Transparency
Cidre Sorre,Ille-et-Vilaine,0,2,0,2,2017,2017,1,Active,https://www.cidre-sorre.fr/,https://www.facebook.com/CidrerieSorre/,https://www.instagram.com/cidreriesorre/,https://maps.google.com/?cid=3277478841126723957,https://www.tripadvisor.com/Attraction_Review-g8506159-d8653800,https://untappd.com/w/cidre-sorre/16758,48.5193051,-1.8481256,0
Cidrerie Guérin,Ille-et-Vilaine,0,2,0,2,2023,2024,2,Active,,https://www.facebook.com/cidrerieguerin/,https://www.instagram.com/cidrerieguerin/,https://maps.google.com/?cid=3132962272405165726,,https://untappd.com/w/cidredrie-guerin/550555,48.4696976,-1.1178777,0
Les Vergers de l'Ille,Ille-et-Vilaine,0,2,0,2,2018,2024,2,Active,https://www.lesvergersdelille.fr/,https://www.facebook.com/Lesvergersdelille/,https://www.instagram.com/les_vergers_de_l.ille/,https://maps.google.com/?cid=14420300231390740214,,https://untappd.com/w/les-vergers-de-l-ille/228900,48.1668676,-1.7047332,0
Loïc Raison,Ille-et-Vilaine,0,2,0,2,2018,2024,2,Active,https://www.loicraison.fr/,https://www.facebook.com/CidreLoicRaison/,https://www.instagram.com/loicraison/,https://maps.google.com/?cid=15768587504697904757,,https://untappd.com/w/loic-raison/18640,48.070267,-1.394779,0
Cidrerie Maison de Perguet,Finistère,0,1,1,2,2023,2024,2,Active,https://maisondeperguet.com/,https://www.facebook.com/CidrerieMaisonDePerguet/,https://www.instagram.com/maisondeperguet/,https://maps.google.com/?cid=11440436581873193012,https://www.tripadvisor.com/Attraction_Review-g666452-d26494297,https://untappd.com/w/maison-de-perguet/533602,47.8766473,-4.0502647,0
Cidrerie Tudker,Côtes-d'Armor,0,1,1,2,2019,2021,2,Active,https://bretagnecidrebio.com/,https://www.facebook.com/profile.php?id=100063724893165,,https://maps.google.com/?cid=1056010068261790518,,https://untappd.com/w/cidrerie-tudker/476163,48.7803061,-3.4458511,0
Cidrerie Huby,Ille-et-Vilaine,0,0,2,2,2018,2019,2,Active,http://www.cidreriehuby.fr/,https://www.facebook.com/cidreriehuby35/,https://www.instagram.com/cidrerie_huby/,https://maps.google.com/?cid=14757172260846963924,,https://untappd.com/w/cidrerie-huby/351358,48.1003741,-2.1023872,0
Atelier de la Pépie,Morbihan,1,0,0,1,2024,2024,1,Active,https://atelierdelapepie.com/,https://www.facebook.com/Atelierdelapepie/,,https://maps.google.com/?cid=8968765589278602927,,https://untappd.com/w/l-atelier-de-la-pacpie/144215,47.6979741,-2.3549415,0
Cidre du Pays de Plouay,Morbihan,1,0,0,1,2021,2021,1,Active,https://cidredupaysdeplouay.com/,,,https://maps.google.com/?cid=5411051270521029089,,https://untappd.com/w/cidrerie-du-pays-de-plouay/523878,47.9529206,-3.3105874,0
Cidre Fermier de Landeleau,Finistère,1,0,0,1,2022,2022,1,Active,,,,https://maps.google.com/?cid=9139318248294781335,,https://untappd.com/w/brasserie-de-landeleau/441165,48.253772,-3.752341,0
