ID,Year,Category,Producer,Producer_Original,Department,Medal,WID,Status,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
32,2018,Cidre Fermier Brut,Cidrerie Benoit,Cidrerie Benjamin Benoît,Côtes-d'Armor,🥇 Or,2884,Active,"<a href=""https://www.cidreriebenoit.fr/"">Website</a>","<a href=""https://www.facebook.com/CidrerieBenoit/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=2837012515774011484"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-benoit/548797"">Untappd</a>"
33,2018,Cidre Fermier Brut,Cellier de la Ville Loyo,Cellier de la Ville Loyo,Côtes-d'Armor,🥈 Argent,1606,Inactive,"<a href=""http://www.cellierdelavilleloyo.com/"">Website</a>","<a href=""https://www.facebook.com/celliervilleloyo"">Facebook</a>",,,,
34,2018,Cidre Fermier Brut,Les Vergers de l'Ille,Les Vergers de L’Ille,Ille-et-Vilaine,🥈 Argent,2935,Active,"<a href=""https://www.lesvergersdelille.fr/"">Website</a>","<a href=""https://www.facebook.com/Lesvergersdelille/"">Facebook</a>","<a href=""https://www.instagram.com/les_vergers_de_l.ille/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14420300231390740214"">Google</a>",,"<a href=""https://untappd.com/w/les-vergers-de-l-ille/228900"">Untappd</a>"
35,2018,Cidre Fermier Brut,Les Vergers de Kermao,Les Vergers de Kermao,Finistère,🥉 Bronze,1587,Active,"<a href=""https://www.cidre-bretagne.com/"">Website</a>",,"<a href=""https://www.instagram.com/kermao.cidre/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11761800243914556755"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g2184442-d8603735"">TripAdvisor</a>","<a href=""https://untappd.com/w/les-vergers-de-kermao/240565"">Untappd</a>"
36,2018,Cidre Fermier Demi-Sec,Cidre de Brocéliande,Cidre de Brocéliande,Ille-et-Vilaine,🥇 Or,2893,Active,"<a href=""https://cidre-breton.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100064718610464"">Facebook</a>","<a href=""https://www.instagram.com/cidreriedebroceliande/"">Instagram</a>","<a href=""https://maps.google.com/?cid=531489837427288496"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g12449841-d16844210"">TripAdvisor</a>","<a href=""https://untappd.com/w/cidre-du-pays-de-broceliande/158895"">Untappd</a>"
37,2018,Cidre Fermier Demi-Sec,Les Vergers de Kermao,Les Vergers de Kermao,Finistère,🥈 Argent,1587,Active,"<a href=""https://www.cidre-bretagne.com/"">Website</a>",,"<a href=""https://www.instagram.com/kermao.cidre/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11761800243914556755"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g2184442-d8603735"">TripAdvisor</a>","<a href=""https://untappd.com/w/les-vergers-de-kermao/240565"">Untappd</a>"
38,2018,Cidre Fermier Demi-Sec,Guy Chériaux,Guy Cheriaux,Côtes-d'Armor,🥈 Argent,3478,Inactive,,,,,,
39,2018,Cidre Fermier Demi-Sec,Cidrerie Melenig,Cidrerie Melenig,Finistère,🥉 Bronze,1590,Active,,,"<a href=""https://www.instagram.com/cidremelenig/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10374518201153439760"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g6922089-d7330818"">TripAdvisor</a>","<a href=""https://untappd.com/CidrerieMelenig"">Untappd</a>"
40,2018,Cidre Fermier Demi-Sec,Cidrerie Huby,Cidre la Vallée du Mel,Ille-et-Vilaine,🥉 Bronze,2925,Active,"<a href=""http://www.cidreriehuby.fr/"">Website</a>","<a href=""https://www.facebook.com/cidreriehuby35/"">Facebook</a>","<a href=""https://www.instagram.com/cidrerie_huby/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14757172260846963924"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-huby/351358"">Untappd</a>"
41,2018,Cidre Fermier Doux,Cidrerie Château Lézergué,Cidrerie du Château de Lézergué,Finistère,🥇 Or,1487,Active,"<a href=""https://www.chateau-lezergue.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100066917829363"">Facebook</a>","<a href=""https://www.instagram.com/cidrerie_chateaudelezergue/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8273125568764221419"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-du-chateau-de-lezergue/127246"">Untappd</a>"
42,2018,Cidre Fermier Doux,Maison Kerloïck,Cidrerie Kerloïck,Côtes-d'Armor,🥈 Argent,1598,Active,"<a href=""https://www.kerloick.bzh/"">Website</a>","<a href=""https://www.facebook.com/people/Maison-Kerlo%C3%AFck/100063648757927/"">Facebook</a>","<a href=""https://www.instagram.com/maison_kerloick/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8360416368856844083"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-kerloick/400998"">Untappd</a>"
43,2018,Cidre Artisanal Brut,Distillerie des Menhirs,Distillerie des Menhirs,Finistère,🥇 Or,1182,Active,"<a href=""https://www.distillerie.bzh/"">Website</a>","<a href=""https://www.facebook.com/distillerie.bzh"">Facebook</a>","<a href=""https://www.instagram.com/distilleriedesmenhirs/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13168987804989415582"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g2544571-d7920317"">TripAdvisor</a>","<a href=""https://untappd.com/w/distillerie-des-menhirs/91619"">Untappd</a>"
44,2018,Cidre Artisanal Brut,Cidrerie Château Lézergué,Les Celliers de l’Odet,Finistère,🥇 Or,1487,Active,"<a href=""https://www.chateau-lezergue.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100066917829363"">Facebook</a>","<a href=""https://www.instagram.com/cidrerie_chateaudelezergue/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8273125568764221419"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-du-chateau-de-lezergue/127246"">Untappd</a>"
