WID,Producer,Region,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,First,Last,Years,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd,Latitude,Longitude,Transparency
1170,Gurutzeta,Basque Country,0,4,1,5,2017,2021,3,Active,https://www.gurutzeta.com/,https://www.facebook.com/profile.php?id=100063653015548,https://www.instagram.com/gurutzeta_sagar/,https://maps.google.com/?cid=3267815348998464054,,https://www.tripadvisor.com/Restaurant_Review-g1064182-d3915865,https://untappd.com/w/gurutzeta-sagardotegia/249476,43.2717118,-1.9522569,0
1624,Araeta,Basque Country,0,3,2,5,2017,2019,2,Active,https://araeta.com/,https://www.facebook.com/pages/Araeta-Restaurante/294806956757,https://www.instagram.com/sidreria_araeta/,https://maps.google.com/?cid=16679682521656072832,,https://www.tripadvisor.com/Restaurant_Review-g187457-d2482068,https://untappd.com/w/araeta-sagardotegia/372000,43.2702303,-2.0307195,0
1995,Berryland,Ukraine,0,3,2,5,2021,2021,1,Inactive,http://berryland.shop/,https://www.facebook.com/ciderua/,https://www.instagram.com/berrylandcidery/,,,,https://untappd.com/BerrylandUA,50.46534,30.3545682,1
2745,Cider Sekt,Czechia,0,3,2,5,2021,2023,2,Active,https://www.cidersekt.cz/,https://www.facebook.com/cidertalk/,https://www.instagram.com/cidertalk/,https://maps.google.com/?cid=1744130511388226457,,,https://untappd.com/w/provoco/396367,49.1136589,14.1662619,0
2688,Astarbe,Basque Country,0,2,3,5,2017,2021,3,Active,https://www.astarbe.eus/,https://www.facebook.com/AstarbeSagar,https://www.instagram.com/astarbesagar/,https://maps.google.com/?cid=4931185880912606614,https://www.yelp.com/biz/astarbe-astigarraga,https://www.tripadvisor.com/Restaurant_Review-g1064182-d3250869,https://untappd.com/w/sidreria-astarbe-sagardotegia/40068,43.2840361,-1.9454688,0
1927,Jaanihanso,Estonia,0,2,3,5,2021,2021,1,Active,http://www.jaanihanso.ee/,https://www.facebook.com/Jaanihanso,https://www.instagram.com/jaanihanso/,https://maps.google.com/?cid=7606641832512391290,,https://www.tripadvisor.com/Attraction_Review-g274956-d12851482,https://untappd.com/Jaanihanso,58.6955057,24.5206078,0
1381,Pips Cider,England,0,2,3,5,2017,2019,2,Active,http://www.pipscider.com/,https://www.facebook.com/PipsCider,https://www.instagram.com/pipscider/,https://maps.google.com/?cid=16039788259014934478,,,https://untappd.com/w/pips-cider-limited/159027,52.0666607,-3.0090619,0
2518,Hawkes,England,0,1,4,5,2019,2019,1,Active,https://wearehawkes.com/,https://www.facebook.com/wearehawkes/,https://www.instagram.com/hawkescidertap/,,,,https://untappd.com/HawkesLondon,51.4995721,-0.075018,0
1479,Sidra Fran,Asturias,2,2,0,4,2021,2023,2,Active,https://sidrafran.es/,,https://www.instagram.com/sidrafran1918/,https://maps.google.com/?cid=15672106953833908893,,https://www.tripadvisor.com/Restaurant_Review-g2437300-d7244547,https://untappd.com/w/sidra-fran/85954,43.4076315,-5.8129423,0
1165,Sidra Menéndez,Asturias,1,3,0,4,2017,2021,2,Active,https://www.sidramenendez.com/,https://www.facebook.com/sidramenendez/,https://www.instagram.com/sidra_menendez/,https://maps.google.com/?cid=17564685525851225222,,,https://untappd.com/w/sidra-menendez/55771,43.4612103,-5.6209813,0
