ID,Year,Style,Medal,Producer,Product,Points,Region,WID,Type,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
575,2023,Perry,🥈 Silver,Killahora Orchards,Fine Perry 2022,81.6,Ireland,1958,Cider,Active,"<a href=""https://www.killahoraorchards.ie/"">Website</a>","<a href=""https://www.facebook.com/killahora/"">Facebook</a>","<a href=""https://www.instagram.com/killahora/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/killahora-orchards/437436"">Untappd</a>"
576,2023,Perry,🥈 Silver,Mostbauernhof Distelberger,Dorschbirne,81.5,Austria,1555,Cider,Active,"<a href=""http://www.distelberger.at/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=11354772379381960347"">Google</a>",,,
577,2023,Perry,🥈 Silver,Mostbauernhof Distelberger,Birnenschaumwein Brut,81,Austria,1555,Cider,Active,"<a href=""http://www.distelberger.at/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=11354772379381960347"">Google</a>",,,
578,2023,Perry,🥈 Silver,L'Aubinière,Poiré Cuvée Étincelles Demi-Sec 2022,80.5,France,2481,Cider,Active,"<a href=""https://www.laubiniere.fr/"">Website</a>","<a href=""https://www.facebook.com/laubiniere/"">Facebook</a>","<a href=""https://www.instagram.com/laubiniere/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3202157626582316196"">Google</a>",,,"<a href=""https://untappd.com/w/l-aubiniere/531046"">Untappd</a>"
579,2023,Perry,🥈 Silver,Haselberger,Beste Birnen Unter Sich - Pyrus Birnenwein Reserve (2019),80.1,Austria,3105,Cider,Active,"<a href=""https://www.haselberger-most.at/"">Website</a>","<a href=""https://www.facebook.com/dhaselbergers"">Facebook</a>","<a href=""https://www.instagram.com/haselberger_most/"">Instagram</a>","<a href=""https://maps.google.com/?cid=786849473018101989"">Google</a>",,,
580,2023,Perry,🥉 Bronze,Seppelbauer,"Exibatur, Mostviertler Birnenmost",76.5,Austria,1548,Cider,Active,"<a href=""https://www.seppelbauer.at/"">Website</a>","<a href=""https://www.facebook.com/pages/Seppelbauers-Obstparadies/208933892492272"">Facebook</a>","<a href=""https://www.instagram.com/seppelbauer/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/mostheuriger-seppelbauer-datzberger/309349"">Untappd</a>"
581,2023,Perry,🥉 Bronze,Mostheuriger Reikersdorfer,Birnenmost Gemischt,76,Austria,2765,Cider,Active,"<a href=""https://www.mosti.at/"">Website</a>","<a href=""https://www.facebook.com/mosti.at"">Facebook</a>","<a href=""https://www.instagram.com/familiereikersdorfer/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7951746744614472989"">Google</a>","<a href=""https://www.yelp.com/biz/reikersdorfer-neuhofen-an-der-ybbs"">Yelp</a>",,
582,2023,Perry,🥉 Bronze,Haselberger,Unter der Dorschbirne (2021),74.1,Austria,3105,Cider,Active,"<a href=""https://www.haselberger-most.at/"">Website</a>","<a href=""https://www.facebook.com/dhaselbergers"">Facebook</a>","<a href=""https://www.instagram.com/haselberger_most/"">Instagram</a>","<a href=""https://maps.google.com/?cid=786849473018101989"">Google</a>",,,
583,2023,Perry,🥉 Bronze,L'Aubinière,Poiré Cuvée Étincelles Brut 2021,73,France,2481,Cider,Active,"<a href=""https://www.laubiniere.fr/"">Website</a>","<a href=""https://www.facebook.com/laubiniere/"">Facebook</a>","<a href=""https://www.instagram.com/laubiniere/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3202157626582316196"">Google</a>",,,"<a href=""https://untappd.com/w/l-aubiniere/531046"">Untappd</a>"
584,2023,Perry,🥉 Bronze,Haselberger,Unter der Speckbirne (2020),71.7,Austria,3105,Cider,Active,"<a href=""https://www.haselberger-most.at/"">Website</a>","<a href=""https://www.facebook.com/dhaselbergers"">Facebook</a>","<a href=""https://www.instagram.com/haselberger_most/"">Instagram</a>","<a href=""https://maps.google.com/?cid=786849473018101989"">Google</a>",,,
585,2023,Perry,🥉 Bronze,Lieglhof Familie Zarl,Speckbirnenmost,71.7,Austria,2769,Cider,Active,"<a href=""https://www.lieglhof.com/"">Website</a>","<a href=""https://www.facebook.com/gutesvomlieglhof/"">Facebook</a>","<a href=""https://www.instagram.com/lieglhof/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9123177938973924997"">Google</a>",,,
586,2023,Perry,🥉 Bronze,Haselberger,Unter der Landlbirne (2020),71,Austria,3105,Cider,Active,"<a href=""https://www.haselberger-most.at/"">Website</a>","<a href=""https://www.facebook.com/dhaselbergers"">Facebook</a>","<a href=""https://www.instagram.com/haselberger_most/"">Instagram</a>","<a href=""https://maps.google.com/?cid=786849473018101989"">Google</a>",,,
