WID,Producer,Region,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,First,Last,Years,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
2760,Cidérka,Czechia,2,0,1,3,2021,2023,2,Active,"<a href=""https://www.ciderka.cz/"">Website</a>","<a href=""https://www.facebook.com/ciderka.cz"">Facebook</a>","<a href=""https://www.instagram.com/ciderka.cz/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4045068491840478725"">Google</a>",,,"<a href=""https://untappd.com/w/ciderka/463341"">Untappd</a>"
2744,Restauracja Tabun,Poland,2,0,1,3,2023,2023,1,Active,"<a href=""https://www.restauracjatabun.pl/"">Website</a>","<a href=""https://www.facebook.com/TABUNCYDR/"">Facebook</a>","<a href=""https://www.instagram.com/tabuncydr/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13556304642115496222"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g3222438-d2654599"">TripAdvisor</a>","<a href=""https://untappd.com/w/tabun/434136"">Untappd</a>"
3605,Apfelweinhandlung JB,Germany,1,2,0,3,2019,2019,1,Active,"<a href=""https://www.apfelweinhandlung.de/"">Website</a>","<a href=""https://www.facebook.com/janusbecker/"">Facebook</a>","<a href=""https://www.instagram.com/apfelweinhandlung/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4042602811831238709"">Google</a>","<a href=""https://www.yelp.com/biz/apfelweinhandlung-jb-frankfurt-am-main-2"">Yelp</a>",,"<a href=""https://untappd.com/w/apfelweinhandlung-janus-becker/213578"">Untappd</a>"
3015,Lepola Drinks,Finland,1,2,0,3,2023,2023,1,Active,"<a href=""https://lepoladrinks.fi/"">Website</a>","<a href=""https://www.facebook.com/lepoladrinks/"">Facebook</a>","<a href=""https://www.instagram.com/lepola_drinks/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10912023971262858580"">Google</a>",,,"<a href=""https://untappd.com/w/lepola/401095"">Untappd</a>"
1587,Les Vergers de Kermao,France,1,2,0,3,2017,2021,3,Active,"<a href=""https://www.cidre-bretagne.com/"">Website</a>",,"<a href=""https://www.instagram.com/kermao.cidre/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11761800243914556755"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g2184442-d8603735"">TripAdvisor</a>","<a href=""https://untappd.com/w/les-vergers-de-kermao/240565"">Untappd</a>"
1297,Pilton Cider,England,1,2,0,3,2019,2019,1,Active,"<a href=""https://www.piltoncider.com/"">Website</a>","<a href=""https://www.facebook.com/piltoncider"">Facebook</a>","<a href=""https://www.instagram.com/piltoncider"">Instagram</a>","<a href=""https://maps.google.com/?cid=9998325032687804281"">Google</a>",,,"<a href=""https://untappd.com/w/pilton-cider/62441"">Untappd</a>"
1614,Aburuza,Basque Country,1,1,1,3,2017,2023,3,Active,"<a href=""https://www.sidrasaburuza.net/"">Website</a>","<a href=""https://www.facebook.com/sidrasaburuza/"">Facebook</a>","<a href=""https://www.instagram.com/aburuza_sagardotegia/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11790998531102067428"">Google</a>","<a href=""https://www.yelp.com/biz/sidreria-aburuza-caserio-olatza-aduna"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g2578771-d7715076"">TripAdvisor</a>","<a href=""https://untappd.com/w/sidreria-aburuza/194775"">Untappd</a>"
2825,Gutshof Kraatz,Germany,1,1,1,3,2021,2021,1,Active,"<a href=""https://gutshof-kraatz.de/"">Website</a>","<a href=""https://www.facebook.com/GutshofKraatz/"">Facebook</a>","<a href=""https://www.instagram.com/gutshof_kraatz/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4340203013602665820"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g12097270-d10525275"">TripAdvisor</a>","<a href=""https://untappd.com/w/kelterei-gutshof-kraatz/210948"">Untappd</a>"
327,Hemly Cider,United States,1,1,1,3,2021,2021,1,Active,"<a href=""https://www.hemlycider.com/"">Website</a>","<a href=""https://www.facebook.com/hemlycider"">Facebook</a>","<a href=""https://www.instagram.com/hemlycider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16671569982279655432"">Google</a>","<a href=""https://www.yelp.com/biz/hemly-cider-courtland"">Yelp</a>","<a href=""https://tripadvisor.com/Attraction_Review-g32258-d24092111"">TripAdvisor</a>","<a href=""https://untappd.com/w/hemly-cider/248913"">Untappd</a>"
2364,Sabiles Sidrs,Latvia,1,1,1,3,2021,2021,1,Active,"<a href=""https://www.gardeners.lv/"">Website</a>","<a href=""https://www.facebook.com/sabiles.sidrs/"">Facebook</a>","<a href=""https://www.instagram.com/sabiles.sidrs/"">Instagram</a>","<a href=""https://maps.google.com/?cid=2950487918260459648"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g2049841-d14914753"">TripAdvisor</a>","<a href=""https://untappd.com/w/sabiles-sidrs/201189"">Untappd</a>"
2748,Sidra Niebla,Canary Islands,1,1,1,3,2023,2023,1,Active,"<a href=""https://www.sidrasdecanarias.com/"">Website</a>",,"<a href=""https://www.instagram.com/sidras_niebla/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16349686505723006702"">Google</a>",,,
2143,Wata Lebanese Cider,Lebanon,1,1,1,3,2021,2021,1,Active,"<a href=""https://www.wata.com.lb/"">Website</a>","<a href=""https://www.facebook.com/watacider"">Facebook</a>","<a href=""https://www.instagram.com/watacider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4521420921498637695"">Google</a>",,,"<a href=""https://untappd.com/w/wata/513914"">Untappd</a>"
2546,Alde Sider,Norway,1,0,2,3,2021,2021,1,Active,"<a href=""https://www.aldesider.no/"">Website</a>","<a href=""https://www.facebook.com/aldesider"">Facebook</a>","<a href=""https://www.instagram.com/aldesider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7838999053969928967"">Google</a>",,,"<a href=""https://untappd.com/Alde_hardanger"">Untappd</a>"
3089,Hera Cider,Galicia,1,0,2,3,2021,2021,1,Active,"<a href=""https://heracider.com/"">Website</a>","<a href=""https://www.facebook.com/heracider/"">Facebook</a>","<a href=""https://www.instagram.com/heracider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=2781404824572044242"">Google</a>",,,"<a href=""https://untappd.com/heracider"">Untappd</a>"
1349,Cotswold Cider Company,England,0,3,0,3,2017,2017,1,Active,"<a href=""https://www.cotswoldciderco.com/"">Website</a>","<a href=""https://www.facebook.com/CotswoldCiderCompany"">Facebook</a>","<a href=""https://www.instagram.com/cotswoldciderco/"">Instagram</a>",,,,"<a href=""https://untappd.com/TheCotswoldCiderCompany"">Untappd</a>"
2717,Martin's Cidery,Slovakia,0,3,0,3,2019,2019,1,Active,"<a href=""https://martinscidery.com/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=7334461102395106401"">Google</a>",,,
3621,Begiristain Sagardotegia,Basque Country,0,2,1,3,2017,2019,2,Active,"<a href=""https://www.begiristainsagardotegia.com/\"">Website</a>",,"<a href=""https://www.instagram.com/begiristainsagardotegia/"">Instagram</a>","<a href=""https://maps.google.com/?cid=726838247126869058"">Google</a>",,,"<a href=""https://untappd.com/w/begiristain-sagardotegia/286519"">Untappd</a>"
3340,Cidre Mauret,France,0,2,1,3,2019,2019,1,Active,"<a href=""https://www.cidremauret.fr/"">Website</a>","<a href=""https://www.facebook.com/cidremauret"">Facebook</a>","<a href=""https://www.instagram.com/cidre_mauret/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4442731802315342242"">Google</a>",,,"<a href=""https://untappd.com/w/cidre-mauret/303234"">Untappd</a>"
1612,Cidres Nicol,France,0,2,1,3,2017,2017,1,Active,"<a href=""https://www.cidres-nicol.bzh/"">Website</a>","<a href=""https://www.facebook.com/CidresNicol"">Facebook</a>","<a href=""https://www.instagram.com/la_cidrerie_nicol/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3722769551030161998"">Google</a>","<a href=""https://www.yelp.com/biz/cidrerie-nicol-surzur"">Yelp</a>",,"<a href=""https://untappd.com/CidrerieNICOL"">Untappd</a>"
262,ERIS Brewery & Cider House,United States,0,2,1,3,2021,2021,1,Active,"<a href=""https://www.erischicago.com/"">Website</a>","<a href=""https://www.facebook.com/erischicago"">Facebook</a>","<a href=""https://www.instagram.com/erischicago/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8228819364943835803"">Google</a>","<a href=""https://www.yelp.com/biz/eris-brewery-and-cider-house-chicago"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g35805-d13418130"">TripAdvisor</a>","<a href=""https://untappd.com/w/eris-brewery-cider-house/379702"">Untappd</a>"
2755,Exner Cider,Asturias,0,2,1,3,2019,2023,3,Active,"<a href=""https://exnercider.com/"">Website</a>","<a href=""https://www.facebook.com/ExnerCider/"">Facebook</a>","<a href=""https://www.instagram.com/exner.cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3356560758775211802"">Google</a>",,,"<a href=""https://untappd.com/b/llagar-sidra-castanon-exner/3684800"">Untappd</a>"
1134,Ross on Wye Cider & Perry,England,0,2,1,3,2021,2021,1,Active,"<a href=""https://rosscider.com/"">Website</a>","<a href=""https://www.facebook.com/pages/Ross-On-Wye-Cider-Perry-Co/230745910360675"">Facebook</a>","<a href=""https://www.instagram.com/rosscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15438292382118860282"">Google</a>",,,"<a href=""https://untappd.com/brewery/12570"">Untappd</a>"
2756,Sidra Alfa,Portugal,0,2,1,3,2021,2023,2,Active,"<a href=""https://sidraalfa.pt/"">Website</a>","<a href=""https://www.facebook.com/Sidralfa1/"">Facebook</a>","<a href=""https://www.instagram.com/sidra_alfa/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/sidra-alfa/545661"">Untappd</a>"
2916,Cidrerie de la Vallée de la Seiche,France,0,1,2,3,2019,2019,1,Active,"<a href=""https://www.valleedelaseiche.fr/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=3742474259683548743"">Google</a>",,,"<a href=""https://untappd.com/w/cidrerie-de-la-vallee-de-la-seiche-cidrerie-michel-maman/78616"">Untappd</a>"
1579,Mostheuriger Hansbauer,Austria,0,1,2,3,2023,2023,1,Active,"<a href=""https://www.hansbauer.at/"">Website</a>",,"<a href=""https://www.instagram.com/mostheuriger_hansbauer/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17616529891212169565"">Google</a>",,,
2484,Cydrownia Zywer,Poland,0,0,3,3,2023,2023,1,Active,"<a href=""https://zywer.pl/"">Website</a>","<a href=""https://www.facebook.com/CydrowniaZywer"">Facebook</a>","<a href=""https://www.instagram.com/cydrowniazywer/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10041242298570436703"">Google</a>",,,"<a href=""https://untappd.com/cydrowniazywer"">Untappd</a>"
1356,Henry of Harcourt,Australia,0,0,3,3,2017,2017,1,Active,"<a href=""https://henrycider.com/"">Website</a>","<a href=""https://www.facebook.com/henrycider/"">Facebook</a>","<a href=""https://www.instagram.com/henrycider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8940355932051611367"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g552178-d8783234"">TripAdvisor</a>","<a href=""https://untappd.com/w/henry-of-harcourt/5374"">Untappd</a>"
3339,Domaine Lesuffleur,France,1,1,0,2,2017,2017,1,Active,,,"<a href=""https://www.instagram.com/domainelesuffleur/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/domaine-lesuffleur/411142"">Untappd</a>"
1471,Llagares Valverán,Asturias,1,1,0,2,2019,2023,2,Active,"<a href=""https://llagaresvalveran.com/"">Website</a>","<a href=""https://www.facebook.com/masaveubodegas/"">Facebook</a>","<a href=""https://www.instagram.com/masaveubodegas/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10125751207643631112"">Google</a>",,,"<a href=""https://untappd.com/w/valveran/55774"">Untappd</a>"
2743,Sidrería TenCai,Chile,1,1,0,2,2023,2023,1,Active,"<a href=""https://tencaisidra.cl/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100063550781151"">Facebook</a>","<a href=""https://www.instagram.com/tencaisidra/"">Instagram</a>","<a href=""https://maps.google.com/?cid=5739971672897016755"">Google</a>",,,"<a href=""https://untappd.com/tencaisidra"">Untappd</a>"
658,Urban Farm Fermentory,United States,1,1,0,2,2021,2021,1,Inactive,"<a href=""https://www.fermentory.com/"">Website</a>","<a href=""https://www.facebook.com/urbanfarmfermentory"">Facebook</a>","<a href=""https://www.instagram.com/fermentory/"">Instagram</a>",,"<a href=""https://www.yelp.com/biz/urban-farm-fermentory-portland"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g40827-d4509600"">TripAdvisor</a>","<a href=""https://untappd.com/w/urban-farm-fermentory/10661"">Untappd</a>"
3620,Valduro,Asturias,1,1,0,2,2017,2017,1,Inactive,,"<a href=""https://www.facebook.com/VALDUROSIDRAPREMIUM/"">Facebook</a>",,,,,"<a href=""https://untappd.com/w/valduro/285513"">Untappd</a>"
3619,Araújo Monte,Portugal,1,0,1,2,2017,2017,1,Inactive,,,,,,,"<a href=""https://untappd.com/w/ara-jo-monte/379915"">Untappd</a>"
1930,Bear Cider,Netherlands,1,0,1,2,2017,2017,1,Active,"<a href=""https://www.bearcider.com/"">Website</a>","<a href=""https://www.facebook.com/Beercider"">Facebook</a>","<a href=""https://www.instagram.com/bearcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=2306162274342811911"">Google</a>",,,"<a href=""https://untappd.com/BeerCider"">Untappd</a>"
1456,Brännland Cider,Sweden,1,0,1,2,2017,2017,1,Active,"<a href=""https://www.brannlandcider.se/"">Website</a>","<a href=""https://www.facebook.com/brannlandcider/"">Facebook</a>","<a href=""https://www.instagram.com/brannlandcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=2299367906990041003"">Google</a>",,,"<a href=""https://untappd.com/brewery/83843"">Untappd</a>"
1931,Cidrerie de Menez-Brug,France,1,0,1,2,2017,2019,2,Active,"<a href=""https://www.cidrerie-de-menez-brug.com/"">Website</a>","<a href=""https://www.facebook.com/cidreriemenezbrug.fr/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=10640223041696316686"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g666452-d15052081"">TripAdvisor</a>","<a href=""https://untappd.com/w/cidrerie-de-menez-brug/150603"">Untappd</a>"
2483,Nua Cider,Portugal,1,0,1,2,2023,2023,1,Active,"<a href=""https://www.nuacider.com/"">Website</a>","<a href=""https://www.facebook.com/cidernua/"">Facebook</a>","<a href=""https://www.instagram.com/CiderNua"">Instagram</a>",,,,"<a href=""https://untappd.com/w/nua-cider/462924"">Untappd</a>"
2751,Bizio,Basque Country,0,2,0,2,2023,2023,1,Active,,"<a href=""https://www.facebook.com/bizio.eus/"">Facebook</a>","<a href=""https://www.instagram.com/bizio.eus/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10634023042683294263"">Google</a>",,,"<a href=""https://untappd.com/w/bizio/517614"">Untappd</a>"
1485,Sidra Cabueñes,Asturias,0,2,0,2,2017,2023,2,Active,,"<a href=""https://www.facebook.com/sidracabuenies/"">Facebook</a>","<a href=""https://www.instagram.com/sidracabuenies/"">Instagram</a>","<a href=""https://maps.google.com/?cid=5234296910772767246"">Google</a>",,,"<a href=""https://untappd.com/w/sidra-cabuenes/78883"">Untappd</a>"
2712,Au Pressoir du Bélon,France,0,1,1,2,2021,2021,1,Active,"<a href=""https://www.cidre-belon-bretagne.fr/"">Website</a>","<a href=""https://www.facebook.com/pressoirdubelon/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=3283810982033688807"">Google</a>",,,
1591,Cidrerie de Rozavern,France,0,1,1,2,2021,2021,1,Active,"<a href=""https://www.rozavern.fr/"">Website</a>","<a href=""https://www.facebook.com/cidreriederozavern"">Facebook</a>","<a href=""https://www.instagram.com/cidrerierozavern"">Instagram</a>","<a href=""https://maps.google.com/?cid=2631934440861688338"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g1842069-d6157429"">TripAdvisor</a>","<a href=""https://untappd.com/w/cidrerie-de-rozavern/357316"">Untappd</a>"
2858,Harcourt Perry & Cider Makers,Australia,0,1,1,2,2017,2017,1,Active,"<a href=""https://harcourtcider.com.au/"">Website</a>","<a href=""https://www.facebook.com/HarcourtCider/"">Facebook</a>","<a href=""https://www.instagram.com/harcourtcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8775592475109844928"">Google</a>",,,"<a href=""https://untappd.com/w/harcourt-perry-cider-makers/429734"">Untappd</a>"
2769,Lieglhof Familie Zarl,Austria,0,1,1,2,2023,2023,1,Active,"<a href=""https://www.lieglhof.com/"">Website</a>","<a href=""https://www.facebook.com/gutesvomlieglhof/"">Facebook</a>","<a href=""https://www.instagram.com/lieglhof/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9123177938973924997"">Google</a>",,,
3024,Paladeus,Italy,0,1,1,2,2019,2021,2,Active,"<a href=""http://www.paladeus.it/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100067062071715"">Facebook</a>","<a href=""https://www.instagram.com/paladeus_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8605615739361573597"">Google</a>",,,"<a href=""https://untappd.com/w/paladeus/538622"">Untappd</a>"
1672,Sidra Fanjul,Asturias,0,1,1,2,2017,2017,1,Active,"<a href=""https://www.sidrafanjul.com/"">Website</a>","<a href=""https://www.facebook.com/Sidra-Fanjul-216579291699190/"">Facebook</a>","<a href=""https://www.instagram.com/sidrafanjul/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10647391104326148313"">Google</a>",,,"<a href=""https://untappd.com/w/sidra-fanjul/57758"">Untappd</a>"
3081,Sidra Posma,Canary Islands,0,1,1,2,2021,2021,1,Active,,"<a href=""https://www.facebook.com/profile.php?id=100063717535205"">Facebook</a>",,,,,"<a href=""https://untappd.com/w/posma/512334"">Untappd</a>"
1620,Altzueta,Basque Country,0,0,2,2,2017,2017,1,Active,"<a href=""https://www.altzuetasagardotegia.com/"">Website</a>","<a href=""https://www.facebook.com/altzuetasagardotegia/"">Facebook</a>","<a href=""https://www.instagram.com/altzueta/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15234921241388447200"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g1064188-d7251429"">TripAdvisor</a>","<a href=""https://untappd.com/w/sidreria-altzueta/71623"">Untappd</a>"
1186,Daylesford Cider Company,Australia,0,0,2,2,2017,2017,1,Active,"<a href=""https://daylesfordcider.com.au/"">Website</a>","<a href=""https://www.facebook.com/DaylesfordCider"">Facebook</a>","<a href=""https://www.instagram.com/daylesfordcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3704200538482217988"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g2533620-d4506486"">TripAdvisor</a>","<a href=""https://untappd.com/w/daylesford-cider-company/15899"">Untappd</a>"
1553,Frank's Cider,Australia,0,0,2,2,2017,2017,1,Active,"<a href=""https://www.frankscider.com.au/"">Website</a>","<a href=""https://www.facebook.com/FranksCider"">Facebook</a>","<a href=""https://www.instagram.com/frankscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12281895632138757991"">Google</a>","<a href=""https://www.yelp.com/biz/franks-cider-bar-and-cafe-franklin"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g504298-d7270183"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/66943"">Untappd</a>"
3092,Kupela,Basque Country,0,0,2,2,2021,2021,1,Active,"<a href=""https://www.kupela.fr/"">Website</a>","<a href=""https://www.facebook.com/kupelasagardoa/"">Facebook</a>","<a href=""https://www.instagram.com/kupela_sagardoa_cidrebasque/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16174297296951175087"">Google</a>",,,"<a href=""https://untappd.com/w/kupela-sagardoa-cidre-basque/282187"">Untappd</a>"
1376,Manoir de Grandouet,France,0,0,2,2,2017,2017,1,Active,"<a href=""https://www.manoir-de-grandouet.fr/"">Website</a>","<a href=""https://www.facebook.com/grandval.fr/"">Facebook</a>","<a href=""https://www.instagram.com/manoirdegrandouet/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1664850146101306839"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g672825-d6994534"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/18942"">Untappd</a>"
3624,Cervezas Yria,Madrid,1,0,0,1,2021,2021,1,Active,"<a href=""https://www.cervezasyria.com/"">Website</a>",,"<a href=""https://www.instagram.com/cervezasyria"">Instagram</a>","<a href=""https://maps.google.com/?cid=27711217619101810"">Google</a>",,,"<a href=""https://untappd.com/Yria"">Untappd</a>"
2722,Cydr Tradycyjny z Trzebnicy,Poland,1,0,0,1,2023,2023,1,Active,,"<a href=""https://www.facebook.com/cydr.tradycyjny/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=16047236127227822461"">Google</a>",,,"<a href=""https://untappd.com/w/cydr-tradycyjny-trzebnica/239415"">Untappd</a>"
3596,Finca La Rionda,Asturias,1,0,0,1,2017,2017,1,Active,"<a href=""https://bodegalarionda.ueniweb.com/"">Website</a>","<a href=""https://www.facebook.com/fincalarionda"">Facebook</a>",,,,"<a href=""https://www.tripadvisor.com/Attraction_Review-g608997-d7010944"">TripAdvisor</a>",
1908,Mount Diablo Cider Company,United States,1,0,0,1,2021,2021,1,Active,"<a href=""https://www.mountdiablocider.com/"">Website</a>","<a href=""https://www.facebook.com/mountdiablocider"">Facebook</a>","<a href=""https://www.instagram.com/mountdiablocider/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/mount-diablo-cider-company/527606"">Untappd</a>"
3627,Sagar Iraultza,Basque Country,1,0,0,1,2021,2021,1,Active,,,,,,,"<a href=""https://untappd.com/w/sagar-iraultza-s-l/497642"">Untappd</a>"
3626,Sarasola Sagardotegia,Basque Country,1,0,0,1,2017,2017,1,Active,"<a href=""https://sidreriasarasola.com/"">Website</a>","<a href=""https://www.facebook.com/sidreriasarasolaasteasu/"">Facebook</a>","<a href=""https://www.instagram.com/sarasola_asteasu/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4818366078847267027"">Google</a>",,,"<a href=""https://untappd.com/w/sidreria-sarasola/98718"">Untappd</a>"
3548,Steve'z,Netherlands,1,0,0,1,2019,2019,1,Active,"<a href=""https://www.stevez.nl/"">Website</a>","<a href=""https://www.facebook.com/Stevez.eu/"">Facebook</a>","<a href=""https://www.instagram.com/stevezcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=506873058458405561"">Google</a>",,,"<a href=""https://untappd.com/w/betuws-wijndomein/470593"">Untappd</a>"
X,---,Switzerland,0,1,0,1,2021,2021,1,Inactive,,,,,,,
2553,Alai Cider,Chile,0,1,0,1,2023,2023,1,Active,"<a href=""https://alaicider.com/"">Website</a>","<a href=""https://www.facebook.com/alaicider/"">Facebook</a>","<a href=""https://www.instagram.com/alaicider/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/alai-cider/459693"">Untappd</a>"
3622,Campple Cider,Asturias,0,1,0,1,2021,2021,1,Active,"<a href=""https://campplecider.com/"">Website</a>",,"<a href=""https://www.instagram.com/campplecider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16532819691065513954"">Google</a>",,,"<a href=""https://untappd.com/w/campple-iberica/458579"">Untappd</a>"
3107,Castelo Branco Cider,Portugal,0,1,0,1,2021,2021,1,Active,"<a href=""http://www.castelobrancocider.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100066758822950"">Facebook</a>",,,,,
3623,Ciderzale,Basque Country,0,1,0,1,2021,2021,1,Inactive,"<a href=""https://ciderzale.com/"">Website</a>","<a href=""https://www.facebook.com/ciderzale/"">Facebook</a>","<a href=""https://www.instagram.com/ciderzale/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/ciderzale/483443"">Untappd</a>"
2543,Cidrerie du Pays d'Auray,France,0,1,0,1,2023,2023,1,Active,,,"<a href=""https://www.instagram.com/cidre.maho/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9205038680508918633"">Google</a>",,,"<a href=""https://untappd.com/w/cidrerie-du-pays-d-auray-frana-ois-maho/423523"">Untappd</a>"
1590,Cidrerie Melenig,France,0,1,0,1,2019,2019,1,Active,,,"<a href=""https://www.instagram.com/cidremelenig/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10374518201153439760"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g6922089-d7330818"">TripAdvisor</a>","<a href=""https://untappd.com/CidrerieMelenig"">Untappd</a>"
3629,El Nocéu,Asturias,0,1,0,1,2017,2017,1,Inactive,,,,"<a href=""https://maps.google.com/?cid=17559119845879466940"">Google</a>",,,
3583,Götti Cider,Switzerland,0,1,0,1,2017,2017,1,Inactive,,"<a href=""https://www.facebook.com/profile.php?id=100042343076491"">Facebook</a>",,,,,
3630,Kastler Cider,Slovakia,0,1,0,1,2019,2019,1,Active,"<a href=""https://kastler.sk/"">Website</a>","<a href=""https://www.facebook.com/KastlerSK/"">Facebook</a>","<a href=""https://www.instagram.com/kastlersk/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15302315145196457481"">Google</a>",,,"<a href=""https://untappd.com/w/kastler/301533"">Untappd</a>"
2073,Mr. Plūme,Latvia,0,1,0,1,2023,2023,1,Active,"<a href=""https://www.mrplume.lv/"">Website</a>","<a href=""https://www.facebook.com/mrplumesidrs"">Facebook</a>","<a href=""https://www.instagram.com/mrplume_sidrs/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9319841841199759114"">Google</a>",,,"<a href=""https://untappd.com/w/mr-plume/332485"">Untappd</a>"
2753,OmCider,Norway,0,1,0,1,2023,2023,1,Active,"<a href=""https://omcider.no/"">Website</a>","<a href=""https://www.facebook.com/OmCiderAS/"">Facebook</a>","<a href=""https://www.instagram.com/omcideras/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1800091822223931241"">Google</a>",,,"<a href=""https://untappd.com/w/omcider/492586"">Untappd</a>"
2749,Ottercider,Belgium,0,1,0,1,2023,2023,1,Active,"<a href=""https://www.ottercider.be/"">Website</a>","<a href=""https://www.facebook.com/Ottercider"">Facebook</a>","<a href=""https://www.instagram.com/ottercider"">Instagram</a>",,,,"<a href=""https://untappd.com/Ottercider"">Untappd</a>"
3158,Pom Sidro Creativo,Italy,0,1,0,1,2021,2021,1,Active,"<a href=""https://www.sidropom.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100069003333725"">Facebook</a>","<a href=""https://www.instagram.com/sidropom/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17454691130515952955"">Google</a>",,,"<a href=""https://untappd.com/w/pom-sidro-creativo/514926"">Untappd</a>"
1424,R. Zabala,Basque Country,0,1,0,1,2017,2017,1,Active,"<a href=""https://www.rzabala.com/"">Website</a>","<a href=""https://www.facebook.com/zabalasagardotegia"">Facebook</a>","<a href=""https://www.instagram.com/zabalasagardotegia/"">Instagram</a>","<a href=""https://maps.google.com/?cid=5479255229461192336"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g2578771-d9821714"">TripAdvisor</a>","<a href=""https://untappd.com/w/r-zabala/186717"">Untappd</a>"
1692,Red Brick Road Cider,Australia,0,1,0,1,2017,2017,1,Inactive,"<a href=""https://www.redbrickroadcider.com.au/"">Website</a>","<a href=""https://www.facebook.com/DickensCiderhouse"">Facebook</a>",,,,,"<a href=""https://untappd.com/v/red-brick-road-ciderhouse/546791"">Untappd</a>"
