ID,WID,Year,Style,Medalist,Entry,Region,Award,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd,Status
65,181,2016,English Sweet Cider,Slake Cider,Citizen,Oregon,🥉 Bronze,,,,,,,,Inactive
66,173,2016,Fruit Cider,Bull Run Cider,Strawberry Fields,Oregon,🥇 Gold,http://www.bullruncider.com/,https://www.facebook.com/Cider,https://www.instagram.com/bullruncider/,https://maps.google.com/?cid=13917891364878698013,https://www.yelp.com/biz/bull-run-cider-forest-grove,,https://untappd.com/w/bull-run-cider/58380,Active
67,67,2016,Fruit Cider,2 Towns Ciderhouse,2 Thorns,Oregon,🥈 Silver,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975,Active
68,785,2016,Fruit Cider,Faustino Estate Cidery,Faustino Apple Plum,British Columbia,🥉 Bronze,,,,,,,,Inactive
69,92,2016,Heritage Dry Cider,Apple Outlaw,Wickson,Oregon,🥈 Silver,http://www.appleoutlaw.com/,https://www.facebook.com/appleoutlaw/,https://www.instagram.com/appleoutlaw/,https://maps.google.com/?cid=5850813650004409160,,,https://untappd.com/w/apple-outlaw-cider/167265,Active
70,668,2016,Heritage Dry Cider,Wandering Aengus Ciderworks,Wandering Aengus Golden Russet,Oregon,🥉 Bronze,,,,,,,,Inactive
71,846,2016,Heritage Sweet Cider,Twisted Hills Craft Cider,Kingston’s Twist,British Columbia,🥈 Silver,https://www.twistedhills.ca/,https://www.facebook.com/twistedhillscraftcider/,https://www.instagram.com/twistedhillscraftcider,https://maps.google.com/?cid=4618450840438418243,https://www.yelp.com/biz/twisted-hills-craft-cider-cawston,https://www.tripadvisor.com/Attraction_Review-g1059482-d8179333,https://untappd.com/w/twisted-hills-craft-cider/189085,Active
72,428,2016,Heritage Sweet Cider,Montana CiderWorks,North Fork Traditional,Montana,🥉 Bronze,http://montanacider.com/,https://www.facebook.com/Montana-CiderWorks-208483272577248/,,,,,https://untappd.com/w/montana-ciderworks/33843,Active
73,585,2016,Hopped Cider,Square Mile Cider,Spur and Vine,Oregon,🥇 Gold,https://www.squaremilecider.com/,https://www.facebook.com/SquareMileCider,https://www.instagram.com/squaremilecider/,https://maps.google.com/?cid=1334101927022279814,,,https://untappd.com/w/square-mile-cider-co/62094,Active
74,1800,2016,Hopped Cider,^5 Cider,Strawbasauras Hop,Oregon,🥈 Silver,,,,,,,,Inactive
75,67,2016,Modern Dry Cider,2 Towns Ciderhouse,Riverwood 2013,Oregon,🥇 Gold,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975,Active
76,337,2016,Modern Dry Cider,Hopworks Urban Brewery,HUB Hard Cider,Oregon,🥈 Silver,,,,,,,,Inactive
77,785,2016,Modern Dry Cider,Faustino Estate Cidery,Faustino Dry Apple,British Columbia,🥉 Bronze,,,,,,,,Inactive
78,276,2016,Modern Perry,Finnriver Farm & Cidery,Perry,Washington,🥇 Gold,https://www.finnriver.com/,https://www.facebook.com/finnriver,https://www.instagram.com/finnriver/,https://maps.google.com/?cid=1802892066987578987,https://www.yelp.com/biz/finnriver-farm-and-cidery-chimacum,https://www.tripadvisor.com/Attraction_Review-g58399-d10595866,https://untappd.com/w/finnriver-farm-and-cidery/3008,Active
79,570,2016,Modern Perry,Snowdrift Cider Co.,Seckel Perry,Washington,🥈 Silver,https://www.snowdriftcider.com/,https://www.facebook.com/snowdriftcider,https://www.instagram.com/snowdriftciderco/,https://maps.google.com/?cid=18339570792633761066,https://www.yelp.com/biz/snowdrift-cider-east-wenatchee,,https://untappd.com/w/snowdrift-cider-co/8545,Active
