Year,Medal,Medalist,Entry,Style,Place
2019,🥇 GOLD,Riverhead Ciderhouse,Blackberry Habanero,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2018,🥈 SILVER,Riverhead Ciderhouse,Apple Annie,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Sweet</a>",
2018,🥈 SILVER,Riverhead Ciderhouse,Crannie Apple,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2021,🥉 BRONZE,Robinette Cellars,Rose,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2018,🥉 BRONZE,Robinette Cellars,Dry Hopped Cider,"<a href=""https://ciderguide.com/glintcap/styles/hopped-cider/"">Hopped Cider</a>",
2018,🥉 BRONZE,Robinette Cellars,Heirloom,"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider - Dry</a>",
2018,🥉 BRONZE,Robinette Cellars,Ice Cider,"<a href=""https://ciderguide.com/glintcap/styles/ice-cider/"">Ice Cider</a>",
2017,🥉 BRONZE,Robinette Cellars,Heirloom Blend,"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider - Dry</a>",
2016,🥈 SILVER,Robinette Cellars,Ice Cider,"<a href=""https://ciderguide.com/glintcap/styles/ice-cider/"">Ice Cider</a>",
2016,🥉 BRONZE,Robinette Cellars,Old World Blend,"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider</a>",
2015,🥉 BRONZE,Robinette Cellars,apple wine,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Applewine</a>",
2015,🥉 BRONZE,Robinette Cellars,dry-hopped cider,"<a href=""https://ciderguide.com/glintcap/styles/hopped-cider/"">Hopped/Herbal Cider</a>",
2015,🥉 BRONZE,Robinette Cellars,Ice Cider,"<a href=""https://ciderguide.com/glintcap/styles/ice-cider/"">Ice Cider</a>",
2014,🥈 SILVER,Robinette Cellars,Barzilla's Brew,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">New World Cider</a>",
2014,🥈 SILVER,Robinette Cellars,Ice Cider,"<a href=""https://ciderguide.com/glintcap/styles/ice-cider/"">Ice Cider</a>",
2014,🥉 BRONZE,Robinette Cellars,Apple Wine,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Applewine</a>",
2013,🥇 GOLD,Robinette Cellars,Cyser,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Open Category Mead</a>",
2013,🥈 SILVER,Robinette Cellars,Apple Dessert Wine,"<a href=""https://ciderguide.com/glintcap/styles/fortified-cider/"">Pommeau</a>",
2013,🥉 BRONZE,Robinette Cellars,Apple Wine,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Applewine</a>",
2013,🥉 BRONZE,Robinette Cellars,Barzillas Brew,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">New World Cider</a>",
2012,🥈 SILVER,Robinette Cellars,Cherry Apple Hard Cider,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2012,🥈 SILVER,Robinette Cellars,Dessert Apple Wine,"<a href=""https://ciderguide.com/glintcap/styles/fortified-cider/"">Pommeau</a>",
2012,🥉 BRONZE,Robinette Cellars,Apple Wine,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Applewine</a>",
2012,🥉 BRONZE,Robinette Cellars,Barzillas Brew Hard Cider,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">New World Cider</a>",
2012,🥉 BRONZE,Robinette Cellars,Hard Cider Seasonal - Limited Release,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2011,🥈 SILVER,Robinette Cellars,Dessert Apple Wine,"<a href=""https://ciderguide.com/glintcap/styles/fortified-cider/"">Pommeau</a>",
2011,🥈 SILVER,Robinette Cellars,Perry,"<a href=""https://ciderguide.com/glintcap/styles/modern-perry/"">New World Perry</a>",
2011,🥉 BRONZE,Robinette Cellars,Barzillas Brew,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">New World Cider</a>",
2011,🥉 BRONZE,Robinette Cellars,Cherry Cider,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2011,🥉 BRONZE,Robinette Cellars,Cyser,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Open Category Mead</a>",
2009,🥈 SILVER,Robinette Cellars,Apple Cherry Cider,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2009,🥈 SILVER,Robinette Cellars,Apple Table Wine,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Applewine</a>",
2009,🥈 SILVER,Robinette Cellars,Cyser,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Open Category Mead</a>",
2009,🥈 SILVER,Robinette Cellars,Dessert Apple Wine,"<a href=""https://ciderguide.com/glintcap/styles/fortified-cider/"">Pommeau</a>",
2008,🥉 BRONZE,Robinette Cellars,Barzillas Brew,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">New World Cider</a>",
2008,🥉 BRONZE,Robinette Cellars,Cyser,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Open Category Mead</a>",
2008,🥉 BRONZE,Robinette Cellars,Dessert Apple Wine,"<a href=""https://ciderguide.com/glintcap/styles/fortified-cider/"">Pommeau</a>",
2007,🥈 SILVER,Robinette Cellars,Dessert Apple Wine,"<a href=""https://ciderguide.com/glintcap/styles/fortified-cider/"">Pommeau</a>",
2007,🥉 BRONZE,Robinette Cellars,Autumn Cyser,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2006,🥉 BRONZE,Robinette Cellars,Barzillas Brew,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">New World Cider</a>",
2021,🥈 SILVER,Rock N Wool Winery,H.O.T.D.,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Dry</a>",
2016,🥈 SILVER,Rogue Ales & Spirits,Fruit Salad Cider,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2022,🏆 BEST IN CLASS,Rootstock Ciderworks,Plum,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",1st Place
2022,🥇 GOLD,Rootstock Ciderworks,2021 Ruby Mac,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Sweet</a>",
2022,🥈 SILVER,Rootstock Ciderworks,Franklin Apple Wine,"<a href=""https://ciderguide.com/glintcap/styles/wood-aged-cider/"">Wood Aged Cider</a>",
2022,🥈 SILVER,Rootstock Ciderworks,Maple,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2022,🥉 BRONZE,Rootstock Ciderworks,2020 Perry,"<a href=""https://ciderguide.com/glintcap/styles/modern-perry/"">Modern Perry</a>",
2021,🏆 BEST IN CLASS,Rootstock Ciderworks,Pommeau,"<a href=""https://ciderguide.com/glintcap/styles/fortified-cider/"">Fortified Cider</a>",3rd Place
2021,🥈 SILVER,Rootstock Ciderworks,2020 Heritage,"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider - Sweet</a>",
2021,🥈 SILVER,Rootstock Ciderworks,2020 Ruby Mac,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Sweet</a>",
2021,🥈 SILVER,Rootstock Ciderworks,5 Year Applejack,"<a href=""https://ciderguide.com/glintcap/styles/spirits/"">Spirits</a>",
2021,🥈 SILVER,Rootstock Ciderworks,Rootstock Belgian,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Dry</a>",
2021,🥈 SILVER,Rootstock Ciderworks,Rootstock Rose,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2021,🥉 BRONZE,Rootstock Ciderworks,2020 Perry,"<a href=""https://ciderguide.com/glintcap/styles/modern-perry/"">Modern Perry</a>",
2021,🥉 BRONZE,Rootstock Ciderworks,Evercrisp,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Sweet</a>",
2019,🥈 SILVER,Rootstock Ciderworks,Rootstock 2016 Legend,"<a href=""https://ciderguide.com/glintcap/styles/wood-aged-cider/"">Wood Aged Cider</a>",
2019,🥈 SILVER,Rootstock Ciderworks,Rootstock 2018 Ruby Mac,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Sweet</a>",
2019,🥈 SILVER,Rootstock Ciderworks,Rootstock Blueberry Russet,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2019,🥈 SILVER,Rootstock Ciderworks,Rootstock Plum,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2018,🥈 SILVER,Rootstock Ciderworks,Barrel Aged Legend,"<a href=""https://ciderguide.com/glintcap/styles/wood-aged-cider/"">Wood Aged Cider</a>",
2018,🥈 SILVER,Rootstock Ciderworks,Dabinett Cuvee,"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider - Dry</a>",
2018,🥈 SILVER,Rootstock Ciderworks,Plum,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2017,🥈 SILVER,Rootstock Ciderworks,Legend,"<a href=""https://ciderguide.com/glintcap/styles/wood-aged-cider/"">Wood Aged Cider</a>",
2017,🥈 SILVER,Rootstock Ciderworks,Rosé,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2016,🥇 GOLD,Rootstock Ciderworks,Rootstock Ciderworks Hopped Cider,"<a href=""https://ciderguide.com/glintcap/styles/hopped-cider/"">Hopped/Herbal Cider</a>",
2016,🥈 SILVER,Rootstock Ciderworks,Rootstock Ciderworks 2014 Perry,"<a href=""https://ciderguide.com/glintcap/styles/modern-perry/"">New World Perry</a>",
2016,🥉 BRONZE,Rootstock Ciderworks,Rootstock Ciderworks,"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider</a>",
2016,🥉 BRONZE,Rootstock Ciderworks,Rootstock Ciderworks 2014 Heritage,"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider</a>",
2016,🥉 BRONZE,Rootstock Ciderworks,Rootstock Ciderworks Dry Hard Cider,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider</a>",
2015,🥇 GOLD,Rootstock Ciderworks,Apple Country Spirits Pear Brandy,"<a href=""https://ciderguide.com/glintcap/styles/spirits/"">Brandy</a>",
2015,🥈 SILVER,Rootstock Ciderworks,Apple Country Spirits Apple Brandy,"<a href=""https://ciderguide.com/glintcap/styles/spirits/"">Brandy</a>",
2015,🥈 SILVER,Rootstock Ciderworks,Apple Country Spirits Apple Jack 2 Year Aged ,"<a href=""https://ciderguide.com/glintcap/styles/spirits/"">Brandy</a>",
2015,🥉 BRONZE,Rootstock Ciderworks,Rootstock Cider Original,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider</a>",
2015,🥉 BRONZE,Rootstock Ciderworks,Rootstock Ciderworks Perry,"<a href=""https://ciderguide.com/glintcap/styles/modern-perry/"">New World Perry</a>",
2012,🥈 SILVER,Ross-on-Wye Cider and Perry,Rum Barrel Medium Cider,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2012,🥉 BRONZE,Ross-on-Wye Cider and Perry,Bottle Conditioned Dry Farmhouse Cider,"<a href=""https://ciderguide.com/glintcap/styles/traditional-cider/"">English Cider</a>",
2012,🥉 BRONZE,Ross-on-Wye Cider and Perry,Farmhouse Medium Dry Cider,"<a href=""https://ciderguide.com/glintcap/styles/traditional-cider/"">English Cider</a>",
2021,🥈 SILVER,Rossbach Cider,Smiling Dog Frozen in Time,"<a href=""https://ciderguide.com/glintcap/styles/ice-cider/"">Ice Cider</a>",
2016,🥈 SILVER,Rossbach Cider,Smiling Dog Premium Cider,"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider</a>",
2016,🥉 BRONZE,Rossbach Cider,Smiling Dog – Frozen In Time,"<a href=""https://ciderguide.com/glintcap/styles/ice-cider/"">Ice Cider</a>",
2015,🥉 BRONZE,Rossbach Cider,Rossbach Cider,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider</a>",
2023,🥈 SILVER,Runcible Cider,ORE No. 001,"<a href=""https://ciderguide.com/glintcap/styles/fortified-cider/"">Fortified Cider</a>",
2019,🥈 SILVER,Runcible Cider,Crab Nebula,"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider - Dry</a>",
2019,🥉 BRONZE,Runcible Cider,Cherry Twang,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2019,🥉 BRONZE,Runcible Cider,Light of the Moon,"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider - Dry</a>",
2019,🥉 BRONZE,Runcible Cider,Twelve Quince,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2018,🥈 SILVER,Runcible Cider,Light of the Moon,"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider - Dry</a>",
2018,🥉 BRONZE,Runcible Cider,Cherry Twang,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2018,🥉 BRONZE,Runcible Cider,Crab Nebula,"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider - Dry</a>",
2018,🥉 BRONZE,Runcible Cider,Old Hoot,"<a href=""https://ciderguide.com/glintcap/styles/traditional-cider/"">Traditional Cider - Dry</a>",
2018,🥉 BRONZE,Runcible Cider,Twelve Quince,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2017,🥈 SILVER,Runcible Cider,Light of the Moon,"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider - Dry</a>",
2023,🥇 GOLD,Rushford Meadery & Winery,Cider Rush Cherry Thai,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2023,🥈 SILVER,Rushford Meadery & Winery,Cider Rush Hopped,"<a href=""https://ciderguide.com/glintcap/styles/hopped-cider/"">Hopped Cider</a>",
2019,🥉 BRONZE,Rushford Meadery & Winery,Cider-Rush Hopped,"<a href=""https://ciderguide.com/glintcap/styles/hopped-cider/"">Hopped Cider</a>",
2019,🥉 BRONZE,Rushford Meadery & Winery,Cider-Rush Spiced,"<a href=""https://ciderguide.com/glintcap/styles/botanical-cider/"">Spiced Cider</a>",
2011,🥈 SILVER,Russell Orchards,Dry Hard Cider,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">New World Cider</a>",
2011,🥈 SILVER,Russell Orchards,Perry,"<a href=""https://ciderguide.com/glintcap/styles/modern-perry/"">New World Perry</a>",
2011,🥉 BRONZE,Russell Orchards,Apple Blueberry Wine,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2011,🥉 BRONZE,Russell Orchards,Baldwin Apple Wine,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Applewine</a>",
2021,🥈 SILVER,S. Martinelli & Co.,Martinelli's 1868 Hard Cider,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Sweet</a>",
2019,🥈 SILVER,S. Martinelli & Co.,1868 Hard Cider,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Sweet</a>",
2023,🏆 BEST IN CLASS,Sage Bird Ciderworks,Virginia Hewes Crab,"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider - Dry</a>",3rd Place
2023,🥇 GOLD,Sage Bird Ciderworks,Black Twig,"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider - Dry</a>",
2023,🥈 SILVER,Sage Bird Ciderworks,Albemarle Pippin,"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider - Dry</a>",
2023,🥈 SILVER,Sage Bird Ciderworks,Dabinett,"<a href=""https://ciderguide.com/glintcap/styles/traditional-cider/"">Traditional Cider - Dry</a>",
2023,🥈 SILVER,Sage Bird Ciderworks,Harrison,"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider - Dry</a>",
2023,🥈 SILVER,Sage Bird Ciderworks,Long Light Mistelle,"<a href=""https://ciderguide.com/glintcap/styles/fortified-cider/"">Fortified Cider</a>",
2023,🥈 SILVER,Sage Bird Ciderworks,Long Night Rum Barrel Pommeau,"<a href=""https://ciderguide.com/glintcap/styles/fortified-cider/"">Fortified Cider</a>",
2023,🥈 SILVER,Sage Bird Ciderworks,Raspberry Ridge,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2023,🥉 BRONZE,Sage Bird Ciderworks,Long Night Pommeau,"<a href=""https://ciderguide.com/glintcap/styles/fortified-cider/"">Fortified Cider</a>",
2022,🥇 GOLD,Sage Bird Ciderworks,Last Call,"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider - Dry</a>",
2022,🥈 SILVER,Sage Bird Ciderworks,Albemarle Pippin,"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider - Dry</a>",
2022,🥈 SILVER,Sage Bird Ciderworks,Brandied Cherry,"<a href=""https://ciderguide.com/glintcap/styles/wood-aged-specialty-cider/"">Wood Aged Specialty Cider</a>",
2022,🥈 SILVER,Sage Bird Ciderworks,Dry River Reserve,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Dry</a>",
2022,🥈 SILVER,Sage Bird Ciderworks,Harrison,"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider - Dry</a>",
2022,🥈 SILVER,Sage Bird Ciderworks,Raspberry Ridge,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2022,🥈 SILVER,Sage Bird Ciderworks,Rocktown Light,"<a href=""https://ciderguide.com/glintcap/styles/unlimited-cider-and-perry/"">Unlimited Cider and Perry</a>",
2022,🥈 SILVER,Sage Bird Ciderworks,Stocking Stuffer,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2022,🥈 SILVER,Sage Bird Ciderworks,Virginia Hewe's Crab,"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider - Dry</a>",
2021,🥇 GOLD,Sage Bird Ciderworks,Summer Harvest Sour,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Dry</a>",
2021,🥇 GOLD,Sage Bird Ciderworks,Virginia Hewe's Crab,"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider - Dry</a>",
2021,🥈 SILVER,Sage Bird Ciderworks,Albemarle Pippin,"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider - Dry</a>",
2021,🥈 SILVER,Sage Bird Ciderworks,Butt's Up,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2021,🥈 SILVER,Sage Bird Ciderworks,Dolly Hops,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2021,🥈 SILVER,Sage Bird Ciderworks,Harrison,"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider - Dry</a>",
2021,🥈 SILVER,Sage Bird Ciderworks,Hip Hop,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2021,🥈 SILVER,Sage Bird Ciderworks,Sweet Shenandoah,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Sweet</a>",
2021,🥈 SILVER,Sage Bird Ciderworks,Winesap,"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider - Dry</a>",
2021,🥉 BRONZE,Sage Bird Ciderworks,Big Meadow,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2021,🥉 BRONZE,Sage Bird Ciderworks,Dry River Reserve,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Dry</a>",
2021,🥉 BRONZE,Sage Bird Ciderworks,Stay Gold,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Dry</a>",
2023,🥈 SILVER,Salt Creek Cider House,Folklore,"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider - Dry</a>",
2023,🥈 SILVER,Salt Creek Cider House,Pioneer,"<a href=""https://ciderguide.com/glintcap/styles/modern-perry/"">Modern Perry</a>",
2023,🥈 SILVER,Salt Creek Cider House,Rebel Rose,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2023,🥉 BRONZE,Salt Creek Cider House,Brave,"<a href=""https://ciderguide.com/glintcap/styles/wood-aged-specialty-cider/"">Wood Aged Specialty Cider</a>",
2023,🏆 BEST IN CLASS,Salt Spring Wild Cider,Saskatoon Berry,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",1st Place
2023,🥈 SILVER,Salt Spring Wild Cider,Bitter Orange Rosemary,"<a href=""https://ciderguide.com/glintcap/styles/unlimited-cider-and-perry/"">Unlimited Cider and Perry</a>",
2023,🥈 SILVER,Salt Spring Wild Cider,Blackberry Plum Cider,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2023,🥈 SILVER,Salt Spring Wild Cider,Dry Cider,"<a href=""https://ciderguide.com/glintcap/styles/traditional-cider/"">Traditional Cider - Dry</a>",
2023,🥈 SILVER,Salt Spring Wild Cider,Elderberry/Elderflower Cider,"<a href=""https://ciderguide.com/glintcap/styles/botanical-cider/"">Botanical Cider</a>",
2023,🥈 SILVER,Salt Spring Wild Cider,English Pet-Nat,"<a href=""https://ciderguide.com/glintcap/styles/traditional-cider/"">Traditional Cider - Dry</a>",
2023,🥈 SILVER,Salt Spring Wild Cider,Ginger Root Cider,"<a href=""https://ciderguide.com/glintcap/styles/botanical-cider/"">Botanical Cider</a>",
2023,🥈 SILVER,Salt Spring Wild Cider,Hopped Apricot,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2023,🥈 SILVER,Salt Spring Wild Cider,Loganberry Pet Nat,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2023,🥈 SILVER,Salt Spring Wild Cider,Maple Bourbon Apricot,"<a href=""https://ciderguide.com/glintcap/styles/wood-aged-specialty-cider/"">Wood Aged Specialty Cider</a>",
2023,🥈 SILVER,Salt Spring Wild Cider,Semi-Dry Cider,"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider - Dry</a>",
2023,🥉 BRONZE,Salt Spring Wild Cider,Cranberry Juniper Cider,"<a href=""https://ciderguide.com/glintcap/styles/unlimited-cider-and-perry/"">Unlimited Cider and Perry</a>",
2022,🏆 BEST IN CLASS,Salt Spring Wild Cider,Traditional Semi-Dry Cider,"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider - Dry</a>",2nd Place
2022,🏆 BEST IN CLASS,Salt Spring Wild Cider,Pear Cider,"<a href=""https://ciderguide.com/glintcap/styles/traditional-perry/"">Traditional Perry</a>",3rd Place
2022,🥈 SILVER,Salt Spring Wild Cider,Bitter Orange Rosemary Cider,"<a href=""https://ciderguide.com/glintcap/styles/botanical-cider/"">Botanical Cider</a>",
2022,🥈 SILVER,Salt Spring Wild Cider,Elderberry Elderflower,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2022,🥈 SILVER,Salt Spring Wild Cider,Farmhouse Scrumpy,"<a href=""https://ciderguide.com/glintcap/styles/traditional-cider/"">Traditional Cider - Dry</a>",
2022,🥈 SILVER,Salt Spring Wild Cider,Ginger Root Cider,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2022,🥈 SILVER,Salt Spring Wild Cider,Hopped Apricot Cider,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2022,🥈 SILVER,Salt Spring Wild Cider,Ice Cider,"<a href=""https://ciderguide.com/glintcap/styles/ice-cider/"">Ice Cider</a>",
2022,🥈 SILVER,Salt Spring Wild Cider,Pet Nat,"<a href=""https://ciderguide.com/glintcap/styles/natural-cider/"">Natural Cider</a>",
2022,🥈 SILVER,Salt Spring Wild Cider,Saskatoon Berry Cider,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2022,🥈 SILVER,Salt Spring Wild Cider,Traditional Dry Cider,"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider - Dry</a>",
2019,🏆 BEST IN CLASS,Salt Spring Wild Cider,Bitter Orange Rosemary,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",3rd Place
2019,🏆 BEST IN CLASS,Salt Spring Wild Cider,Salt Spring Wild Cider Semi-Dry,"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider - Dry</a>",3rd Place
2019,🥇 GOLD,Salt Spring Wild Cider,Elderberry/Elderflower,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2019,🥇 GOLD,Salt Spring Wild Cider,Hopped Apricot,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2019,🥇 GOLD,Salt Spring Wild Cider,Salt Spring Wild Cider,"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider - Dry</a>",
2019,🥈 SILVER,Salt Spring Wild Cider,Black Currant Akvavit,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2019,🥈 SILVER,Salt Spring Wild Cider,Farmhouse Scrumpy,"<a href=""https://ciderguide.com/glintcap/styles/traditional-cider/"">Traditional Cider - Dry</a>",
2019,🥈 SILVER,Salt Spring Wild Cider,Pear Cider,"<a href=""https://ciderguide.com/glintcap/styles/traditional-perry/"">Traditional Perry</a>",
2019,🥈 SILVER,Salt Spring Wild Cider,Plum,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2019,🥉 BRONZE,Salt Spring Wild Cider,Ginger Root,"<a href=""https://ciderguide.com/glintcap/styles/botanical-cider/"">Spiced Cider</a>",
2019,🥉 BRONZE,Salt Spring Wild Cider,Maple Bourbon Apricot,"<a href=""https://ciderguide.com/glintcap/styles/wood-aged-specialty-cider/"">Wood Aged Specialty Cider</a>",
2018,🥇 GOLD,Salt Spring Wild Cider,Hopped Apricot,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
