glintcap_short,glintcap_full,glintcap_slug,Medalist,Assumed,World_ID,World_Name_Old,actual_short,notes,World_Name,new_cg_url
https://glintcap.org/apple-valley-cider-company,https://glintcap.org/results/commercial/medalists/apple-valley-cider-company/,apple-valley-cider-company,Apple Valley Cider Company,https://ciderguide.com/apple-valley-cider-company,93,Apple Valley Cider Company,https://ciderguide.com/apple-valley-cider-company,,Apple Valley Cider Company,https://ciderguide.com/glintcap/medalists/apple-valley-cider-company/
https://glintcap.org/big-bs-hard-cider,https://glintcap.org/results/commercial/medalists/big-bs-hard-cider/,big-bs-hard-cider,Big B's Hard Cider,https://ciderguide.com/big-bs-hard-cider,126,Big B's Hard Cider,https://ciderguide.com/big-bs-hard-cider,,Big B's Hard Cider,https://ciderguide.com/glintcap/medalists/big-bs-hard-cider/
https://glintcap.org/blossomwood-cidery,https://glintcap.org/results/commercial/medalists/blossomwood-cidery/,blossomwood-cidery,#N/A,#N/A,2573,Blossomwood Cidery,none,Added.,Blossomwood Cidery,https://ciderguide.com/glintcap/medalists/blossomwood-cidery/
https://glintcap.org/branch-out-cider,https://glintcap.org/results/commercial/medalists/branch-out-cider/,branch-out-cider,Branch Out Cider,https://ciderguide.com/branch-out-cider,159,Branch Out Cider,https://ciderguide.com/branch-out-cider,,Branch Out Cider,https://ciderguide.com/glintcap/medalists/branch-out-cider/
https://glintcap.org/c-squared-ciders,https://glintcap.org/results/commercial/medalists/c-squared-ciders/,c-squared-ciders,C Squared Ciders,https://ciderguide.com/c-squared-ciders,176,C Squared Ciders,https://ciderguide.com/c-squared-ciders,,C Squared Ciders,https://ciderguide.com/glintcap/medalists/c-squared-ciders/
https://glintcap.org/clear-fork-cider,https://glintcap.org/results/commercial/medalists/clear-fork-cider/,clear-fork-cider,Clear Fork Cider,https://ciderguide.com/clear-fork-cider,202,Clear Fork Cider,https://ciderguide.com/clear-fork-cider,,Clear Fork Cider,https://ciderguide.com/glintcap/medalists/clear-fork-cider/
https://glintcap.org/colorado-cider-company,https://glintcap.org/results/commercial/medalists/colorado-cider-company/,colorado-cider-company,Colorado Cider Company,https://ciderguide.com/colorado-cider-company,209,Colorado Cider Company,https://ciderguide.com/colorado-cider-company,,Colorado Cider Company,https://ciderguide.com/glintcap/medalists/colorado-cider-company/
https://glintcap.org/esoterra-ciderworks,https://glintcap.org/results/commercial/medalists/esoterra-ciderworks/,esoterra-ciderworks,EsoTerra Ciderworks,https://ciderguide.com/esoterra-ciderworks,996,EsoTerra Ciderworks,https://ciderguide.com/esoterra-ciderworks,,EsoTerra Ciderworks,https://ciderguide.com/glintcap/medalists/esoterra-ciderworks/
https://glintcap.org/fenceline-cider,https://glintcap.org/results/commercial/medalists/fenceline-cider/,fenceline-cider,Fenceline Cider,https://ciderguide.com/fenceline-cider,274,Fenceline Cider,https://ciderguide.com/fenceline-cider,,Fenceline Cider,https://ciderguide.com/glintcap/medalists/fenceline-cider/
https://glintcap.org/haykin-family-cider,https://glintcap.org/results/commercial/medalists/haykin-family-cider/,haykin-family-cider,Haykin Family Cider,https://ciderguide.com/haykin-family-cider,323,Haykin Family Cider,https://ciderguide.com/haykin-family-cider,,Haykin Family Cider,https://ciderguide.com/glintcap/medalists/haykin-family-cider/
