Source,Target,Short_Name,CG_URL,Producer,Status,WID,State_Province,Country,Table_Shortcode,Notes,"[table id=9 filter=""zzz"" filter_full_cell_match=true hide_columns=""3"" /]"
https://glintcap.org/arsenal-cider-house,https://glintcap.org/results/commercial/medalists/arsenal-cider-house/,arsenal-cider-house,https://ciderguide.com/glintcap/medalists/arsenal-cider-house/,Arsenal Cider House Lawrenceville,Active,97,Pennsylvania,United States,"[table id=9 filter=""Arsenal Cider House Lawrenceville"" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/artifact-cider-project,https://glintcap.org/results/commercial/medalists/artifact-cider-project/,artifact-cider-project,https://ciderguide.com/glintcap/medalists/artifact-cider-project/,Artifact Cider Project,Active,99,Massachusetts,United States,"[table id=9 filter=""Artifact Cider Project"" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/ash-elm-cider-co,https://glintcap.org/results/commercial/medalists/ash-elm-cider-co/,ash-elm-cider-co,https://ciderguide.com/glintcap/medalists/ash-elm-cider-co/,Ash & Elm Cider Company,Active,101,Indiana,United States,"[table id=9 filter=""Ash & Elm Cider Company"" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/atlanta-hard-cider-company,https://glintcap.org/results/commercial/medalists/atlanta-hard-cider-company/,atlanta-hard-cider-company,https://ciderguide.com/glintcap/medalists/atlanta-hard-cider-company/,Atlanta Hard Cider Co.,Active,102,Georgia,United States,"[table id=9 filter=""Atlanta Hard Cider Co."" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/austin-eastciders,https://glintcap.org/results/commercial/medalists/austin-eastciders/,austin-eastciders,https://ciderguide.com/glintcap/medalists/austin-eastciders/,Austin Eastciders,Active,104,Texas,United States,"[table id=9 filter=""Austin Eastciders"" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/backwater,https://glintcap.org/results/commercial/medalists/backwater/,backwater,https://ciderguide.com/glintcap/medalists/backwater/,Mississippi Ale House,Active,110,Mississippi,United States,"[table id=9 filter=""Mississippi Ale House"" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/baumans-cider,https://glintcap.org/results/commercial/medalists/baumans-cider/,baumans-cider,https://ciderguide.com/glintcap/medalists/baumans-cider/,Bauman's Cider,Active,118,Oregon,United States,"[table id=9 filter=""Bauman's Cider"" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/bent-ladder,https://glintcap.org/results/commercial/medalists/bent-ladder/,bent-ladder,https://ciderguide.com/glintcap/medalists/bent-ladder/,Bent Ladder,Active,124,Ohio,United States,"[table id=9 filter=""Bent Ladder"" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/big-bs-hard-cider,https://glintcap.org/results/commercial/medalists/big-bs-hard-cider/,big-bs-hard-cider,https://ciderguide.com/glintcap/medalists/big-bs-hard-cider/,Big B's Hard Cider,Active,126,Colorado,United States,"[table id=9 filter=""Big B's Hard Cider"" filter_full_cell_match=true hide_columns=""3"" /]",,
https://glintcap.org/big-fish-cider-co,https://glintcap.org/results/commercial/medalists/big-fish-cider-co/,big-fish-cider-co,https://ciderguide.com/glintcap/medalists/big-fish-cider-co/,Big Fish Cider Co.,Active,127,Virginia,United States,"[table id=9 filter=""Big Fish Cider Co."" filter_full_cell_match=true hide_columns=""3"" /]",,
