glintcap,new_cg_url
/corey-lake-orchards/,https://ciderguide.com/glintcap/medalists/corey-lake-orchards/
/country-mill-winery/,https://ciderguide.com/glintcap/medalists/country-mill-winery/
/crows-hard-cider/,https://ciderguide.com/glintcap/medalists/green-bird-cellars/
/douglas-valley/,https://ciderguide.com/glintcap/medalists/douglas-valley/
/farm-club/,https://ciderguide.com/glintcap/medalists/farm-club/
/farmhaus-cider-co/,https://ciderguide.com/glintcap/medalists/farmhaus-cider-co/
/fenn-valley-vineyards/,https://ciderguide.com/glintcap/medalists/fenn-valley-vineyards/
/fieldstone-hard-cider-co/,https://ciderguide.com/glintcap/medalists/fieldstone-hard-cider-co/
/flint-city-hard-cider-co/,https://ciderguide.com/glintcap/medalists/flint-city-hard-cider-co/
/forbidden-fruit-cider/,https://ciderguide.com/glintcap/medalists/st-julian-winery/
/forgotten-ciders/,https://ciderguide.com/glintcap/medalists/forgotten-ciders/
/fourth-coast-ciderworks/,https://ciderguide.com/glintcap/medalists/fourth-coast-ciderworks/
/french-road-cellars/,https://ciderguide.com/glintcap/medalists/french-road-cellars/
/good-bones-ciderhouse/,https://ciderguide.com/glintcap/medalists/good-bones-ciderhouse/
/gravity-vineyards-and-winery/,https://ciderguide.com/glintcap/medalists/gravity-vineyards-and-winery/
/hideout-brewing-company/,https://ciderguide.com/glintcap/medalists/hideout-brewing-company/
/j-trees-cellars/,https://ciderguide.com/glintcap/medalists/j-trees-cellars/
/jks-farmhouse-ciders/,https://ciderguide.com/glintcap/medalists/jks-farmhouse-ciders/
/king-orchards/,https://ciderguide.com/glintcap/medalists/king-orchards/
/kuhnhenn-brewing/,https://ciderguide.com/glintcap/medalists/kuhnhenn-brewing-co/
/left-foot-charley/,https://ciderguide.com/glintcap/medalists/left-foot-charley/
/lehmans-orchards/,https://ciderguide.com/glintcap/medalists/lehmans-orchards/
/malicious-spirits/,https://ciderguide.com/glintcap/medalists/malicious-spirits/
/mawby-vineyards/,https://ciderguide.com/glintcap/medalists/mawby-vineyards/
/mcintosh-cellars/,https://ciderguide.com/glintcap/medalists/mcintosh-cellars/
/meckleys-cidery/,https://ciderguide.com/glintcap/medalists/meckleys-cidery/
/michigan-wine-company/,https://ciderguide.com/glintcap/medalists/michigan-wine-company/
/new-holland-brewing/,https://ciderguide.com/glintcap/medalists/new-holland-brewing/
/nomad-cidery/,https://ciderguide.com/glintcap/medalists/nomad-cidery/
/northern-natural-winery/,https://ciderguide.com/glintcap/medalists/northern-natural-cider-house-winery/
/northville-winery-and-brewing-company/,https://ciderguide.com/glintcap/medalists/northville-winery-and-brewing-company/
/odd-brothers-craft-cider/,https://ciderguide.com/glintcap/medalists/odd-brothers-craft-cider/
/old-boys-brewhouse/,https://ciderguide.com/glintcap/medalists/old-boys-brewhouse/
/ore-creek-craft-ciders/,https://ciderguide.com/glintcap/medalists/ore-creek-craft-cider/
/painted-turtle-hard-cider/,https://ciderguide.com/glintcap/medalists/painted-turtle-hard-cider/
/peats-original-cider/,https://ciderguide.com/glintcap/medalists/peats-original-cider/
/peninsula-cellars/,https://ciderguide.com/glintcap/medalists/peninsula-cellars/
/phillips-ciders/,https://ciderguide.com/glintcap/medalists/phillips-orchards-cider-mill/
/presque-isle-farm-cider/,https://ciderguide.com/glintcap/medalists/presque-isle-farm-cider/
/pux-cider/,https://ciderguide.com/glintcap/medalists/pux-cider/
/red-top-winery/,https://ciderguide.com/glintcap/medalists/red-top-winery/
/ridge-cider-co/,https://ciderguide.com/glintcap/medalists/ridge-cider-co/
/robinette-cellars/,https://ciderguide.com/glintcap/medalists/robinette-cellars/
/sanctuary-spirits/,https://ciderguide.com/glintcap/medalists/sanctuary-spirits/
/sierra-rose-cellars/,https://ciderguide.com/glintcap/medalists/cascade-winery-sierra-rose-ciders/
/sietsema-orchards/,https://ciderguide.com/glintcap/medalists/sietsema-orchards/
/speciation-artisan-ales/,https://ciderguide.com/glintcap/medalists/speciation-artisan-ales/
/spicers-winery/,https://ciderguide.com/glintcap/medalists/spicers-winery/
/squiggly-tree-cider/,https://ciderguide.com/glintcap/medalists/squiggly-tree-cider/
/st-ambrose-cellars/,https://ciderguide.com/glintcap/medalists/st-ambrose-cellars/
/starcut-ciders/,https://ciderguide.com/glintcap/medalists/starcut-ciders/
