Source,Target,Short_Name,CG_URL,URL,Producer,Status,WID,State_Province,Country,Table_Shortcode,Best in Class,Gold,Silver,Bronze,Total,First,Last,Years
https://glintcap.org/alpenfire-cider,https://glintcap.org/results/commercial/medalists/alpenfire-cider/,alpenfire-cider,https://ciderguide.com/glintcap/alpenfire-cider/,https://www.alpenfirecider.com/,Alpenfire Cider,Active,84,Washington,United States,"[table id=9 filter=""Alpenfire Cider"" filter_full_cell_match=true hide_columns=""3"" /]",0,1,4,5,10,2011,2017,5
https://glintcap.org/ambrosia-orchard-cidery-and-meadery,https://glintcap.org/results/commercial/medalists/ambrosia-orchard-cidery-and-meadery/,ambrosia-orchard-cidery-and-meadery,https://ciderguide.com/glintcap/ambrosia-orchard-cidery-and-meadery/,https://www.ambrosiaorchardfw.com/,Ambrosia Orchard,Active,86,Indiana,United States,"[table id=9 filter=""Ambrosia Orchard"" filter_full_cell_match=true hide_columns=""3"" /]",0,0,3,3,6,2019,2022,2
https://glintcap.org/angry-orchard,https://glintcap.org/results/commercial/medalists/angry-orchard/,angry-orchard,https://ciderguide.com/glintcap/angry-orchard/,https://www.angryorchard.com/,Angry Orchard,Active,87,New York,United States,"[table id=9 filter=""Angry Orchard"" filter_full_cell_match=true hide_columns=""3"" /]",5,8,53,70,136,2013,2023,10
https://glintcap.org/anxo-cider,https://glintcap.org/results/commercial/medalists/anxo-cider,anxo-cider,https://ciderguide.com/glintcap/anxo-cider/,https://store.anxodc.com/,ANXO Cider,Active,89,District of Columbia,United States,"[table id=9 filter=""ANXO Cider"" filter_full_cell_match=true hide_columns=""3"" /]",1,1,15,13,30,2016,2022,6
https://glintcap.org/apple-knocker-hard-cider,https://glintcap.org/results/commercial/medalists/apple-knocker-hard-cider/,apple-knocker-hard-cider,https://ciderguide.com/glintcap/apple-knocker-hard-cider/,http://www.owlcreekvineyard.com/,Owl Creek Vineyard,Active,91,Illinois,United States,"[table id=9 filter=""Owl Creek Vineyard"" filter_full_cell_match=true hide_columns=""3"" /]",0,0,1,2,3,2014,2014,1
https://glintcap.org/apple-outlaw,https://glintcap.org/results/commercial/medalists/apple-outlaw/,apple-outlaw,https://ciderguide.com/glintcap/apple-outlaw/,http://www.appleoutlaw.com/,Apple Outlaw,Active,92,Oregon,United States,"[table id=9 filter=""Apple Outlaw"" filter_full_cell_match=true hide_columns=""3"" /]",0,0,2,5,7,2015,2017,2
https://glintcap.org/apple-valley-cider-company,https://glintcap.org/results/commercial/medalists/apple-valley-cider-company/,apple-valley-cider-company,https://ciderguide.com/glintcap/apple-valley-cider-company/,http://www.applevalleycider.com/,Apple Valley Cider Company,Active,93,Colorado,United States,"[table id=9 filter=""Apple Valley Cider Company"" filter_full_cell_match=true hide_columns=""3"" /]",1,1,4,10,16,2019,2023,4
https://glintcap.org/arsenal-cider-house,https://glintcap.org/results/commercial/medalists/arsenal-cider-house/,arsenal-cider-house,https://ciderguide.com/glintcap/arsenal-cider-house/,https://www.arsenalciderhouse.com/lawrenceville/,Arsenal Cider House Lawrenceville,Active,97,Pennsylvania,United States,"[table id=9 filter=""Arsenal Cider House Lawrenceville"" filter_full_cell_match=true hide_columns=""3"" /]",2,6,26,13,47,2016,2022,5
https://glintcap.org/artifact-cider-project,https://glintcap.org/results/commercial/medalists/artifact-cider-project/,artifact-cider-project,https://ciderguide.com/glintcap/artifact-cider-project/,http://www.artifactcider.com/,Artifact Cider Project,Active,99,Massachusetts,United States,"[table id=9 filter=""Artifact Cider Project"" filter_full_cell_match=true hide_columns=""3"" /]",0,0,3,0,3,2023,2023,1
https://glintcap.org/ash-elm-cider-co,https://glintcap.org/results/commercial/medalists/ash-elm-cider-co/,ash-elm-cider-co,https://ciderguide.com/glintcap/ash-elm-cider-co/,http://www.ashandelmcider.com/,Ash & Elm Cider Company,Active,101,Indiana,United States,"[table id=9 filter=""Ash & Elm Cider Company"" filter_full_cell_match=true hide_columns=""3"" /]",0,0,4,5,9,2017,2019,3
https://glintcap.org/atlanta-hard-cider-company,https://glintcap.org/results/commercial/medalists/atlanta-hard-cider-company/,atlanta-hard-cider-company,https://ciderguide.com/glintcap/atlanta-hard-cider-company/,https://www.atlantahardcider.com/,Atlanta Hard Cider Co.,Active,102,Georgia,United States,"[table id=9 filter=""Atlanta Hard Cider Co."" filter_full_cell_match=true hide_columns=""3"" /]",1,1,11,0,13,2019,2023,4
https://glintcap.org/austin-eastciders,https://glintcap.org/results/commercial/medalists/austin-eastciders/,austin-eastciders,https://ciderguide.com/glintcap/austin-eastciders/,http://austineastciders.com/,Austin Eastciders,Active,104,Texas,United States,"[table id=9 filter=""Austin Eastciders"" filter_full_cell_match=true hide_columns=""3"" /]",0,0,2,2,4,2012,2021,2
https://glintcap.org/backwater,https://glintcap.org/results/commercial/medalists/backwater/,backwater,https://ciderguide.com/glintcap/backwater/,https://mississippialehouse.com/,Mississippi Ale House,Active,110,Mississippi,United States,"[table id=9 filter=""Mississippi Ale House"" filter_full_cell_match=true hide_columns=""3"" /]",0,0,2,5,7,2018,2023,3
https://glintcap.org/baumans-cider,https://glintcap.org/results/commercial/medalists/baumans-cider/,baumans-cider,https://ciderguide.com/glintcap/baumans-cider/,https://baumanscider.com/,Bauman's Cider,Active,118,Oregon,United States,"[table id=9 filter=""Bauman's Cider"" filter_full_cell_match=true hide_columns=""3"" /]",10,18,45,14,87,2016,2023,7
https://glintcap.org/bent-ladder,https://glintcap.org/results/commercial/medalists/bent-ladder/,bent-ladder,https://ciderguide.com/glintcap/bent-ladder/,http://bentladder.com/,Bent Ladder,Active,124,Ohio,United States,"[table id=9 filter=""Bent Ladder"" filter_full_cell_match=true hide_columns=""3"" /]",1,0,6,4,11,2019,2023,3
https://glintcap.org/big-bs-hard-cider,https://glintcap.org/results/commercial/medalists/big-bs-hard-cider/,big-bs-hard-cider,https://ciderguide.com/glintcap/big-bs-hard-cider/,http://www.bigbs.com/,Big B's Hard Cider,Active,126,Colorado,United States,"[table id=9 filter=""Big B's Hard Cider"" filter_full_cell_match=true hide_columns=""3"" /]",0,1,15,16,32,2013,2019,7
https://glintcap.org/big-fish-cider-co,https://glintcap.org/results/commercial/medalists/big-fish-cider-co/,big-fish-cider-co,https://ciderguide.com/glintcap/big-fish-cider-co/,http://www.bigfishcider.com/,Big Fish Cider Co.,Active,127,Virginia,United States,"[table id=9 filter=""Big Fish Cider Co."" filter_full_cell_match=true hide_columns=""3"" /]",4,8,13,4,29,2016,2023,7
https://glintcap.org/big-hill-ciderworks,https://glintcap.org/results/commercial/medalists/big-hill-ciderworks/,big-hill-ciderworks,https://ciderguide.com/glintcap/big-hill-ciderworks/,http://bighillcider.com/,Big Hill Ciderworks,Active,128,Pennsylvania,United States,"[table id=9 filter=""Big Hill Ciderworks"" filter_full_cell_match=true hide_columns=""3"" /]",0,0,6,7,13,2014,2019,5
https://glintcap.org/bishop-cider-company,https://glintcap.org/results/commercial/medalists/bishop-cider-company/,bishop-cider-company,https://ciderguide.com/glintcap/bishop-cider-company/,http://www.bishopcider.com/,Bishop Cider Company,Active,130,Texas,United States,"[table id=9 filter=""Bishop Cider Company"" filter_full_cell_match=true hide_columns=""3"" /]",0,0,0,4,4,2018,2018,1
https://glintcap.org/bishops-orchards-winery,https://glintcap.org/results/commercial/medalists/bishops-orchards-winery/,bishops-orchards-winery,https://ciderguide.com/glintcap/bishops-orchards-winery/,http://bishopsorchards.com/,Bishops Orchards Winery,Active,131,Connecticut,United States,"[table id=9 filter=""Bishops Orchards Winery"" filter_full_cell_match=true hide_columns=""3"" /]",0,1,2,12,15,2014,2016,3
https://glintcap.org/black-apple,https://glintcap.org/results/commercial/medalists/black-apple/,black-apple,https://ciderguide.com/glintcap/black-apple/,https://www.blackapplehardcider.com/,Black Apple,Active,133,Arkansas,United States,"[table id=9 filter=""Black Apple"" filter_full_cell_match=true hide_columns=""3"" /]",0,1,3,3,7,2021,2023,2
https://glintcap.org/black-diamond-cider,https://glintcap.org/results/commercial/medalists/black-diamond-cider/,black-diamond-cider,https://ciderguide.com/glintcap/black-diamond-cider/,https://blackdiamondcider.com/,Black Diamond Cider,Active,136,New York,United States,"[table id=9 filter=""Black Diamond Cider"" filter_full_cell_match=true hide_columns=""3"" /]",5,6,14,6,31,2017,2023,6
https://glintcap.org/blackbird-cider-works,https://glintcap.org/results/commercial/medalists/blackbird-cider-works/,blackbird-cider-works,https://ciderguide.com/glintcap/blackbird-cider-works/,,Resurgence Brewing Co.,Active,139,New York,United States,"[table id=9 filter=""Resurgence Brewing Co."" filter_full_cell_match=true hide_columns=""3"" /]",2,0,21,18,41,2012,2023,11
https://glintcap.org/blackman-cider-co,https://glintcap.org/results/commercial/medalists/blackman-cider-co/,blackman-cider-co,https://ciderguide.com/glintcap/blackman-cider-co/,https://www.blackmancider.com/,Blackman Cider Co.,Active,142,New York,United States,"[table id=9 filter=""Blackman Cider Co."" filter_full_cell_match=true hide_columns=""3"" /]",0,0,2,2,4,2019,2019,1
https://glintcap.org/blindwood-cider,https://glintcap.org/results/commercial/medalists/blindwood-cider/,blindwood-cider,https://ciderguide.com/glintcap/blindwood-cider/,https://www.blindwood.com/,Blindwood Cider,Active,144,California,United States,"[table id=9 filter=""Blindwood Cider"" filter_full_cell_match=true hide_columns=""3"" /]",0,0,0,1,1,2019,2019,1
