ID,Year,Category,Medalist,Region,Medal,WID,Status,Website,Facebook,Instagram,Google,TripAdvisor,Untappd,Latitude,Longitude
16,2017,Cidre de Normandie IGP Brut,Les Celliers Associés,Brittany,🥈 Argent,1999,Active,https://www.valderance.com/,https://www.facebook.com/ValdeRance/,,https://maps.google.com/?cid=7883069809343472545,,https://untappd.com/LesCelliersAssocis,48.5085682,-1.9533612
63,2017,Cidre de Normandie IGP Demi-Sec,Domaine Duclos Fougeray,Normandy,🥈 Argent,1178,Active,https://www.duclosfougeray.com/,https://www.facebook.com/domaine.duclosfougeray,https://www.instagram.com/domaine_duclos_fougeray/,https://maps.google.com/?cid=12398185041013701779,,https://untappd.com/brewery/103532,49.6100938,1.664631
23,2017,Cidre de Normandie IGP Demi-Sec,Domaine Sicera,Normandy,🥈 Argent,3491,Active,https://www.sicera.fr/,https://www.facebook.com/cidresicera,https://www.instagram.com/domaine_sicera/,https://maps.google.com/?cid=5127145163687533245,,https://untappd.com/w/sicera/345757,49.3748041,0.6967289
20,2017,Cidre de Normandie IGP Doux,Domaine des Hauts-Vents,Normandy,🥈 Argent,2889,Active,http://hautsvents.com/,https://www.facebook.com/CidreriedomaineDesHautsVents,https://www.instagram.com/domainedeshautsvents/,https://maps.google.com/?cid=3890633221204655265,https://www.tripadvisor.com/Attraction_Review-g661275-d6654230,https://untappd.com/w/domaine-des-hauts-vents/70064,49.3011577,0.9456953
66,2017,Cidre de Normandie IGP Doux,Le Clos des Citots,Normandy,🥉 Bronze,3102,Active,https://www.leclosdescitots.fr/,https://www.facebook.com/profile.php?id=100066990398769,,https://maps.google.com/?cid=3330784351320305206,,https://untappd.com/w/le-clos-des-citots-gerard-lenormand/87074,49.4573681,0.8128167
46,2017,Cidre Fermier Brut,Cidrerie Huby,Brittany,🥇 Or,2925,Active,http://www.cidreriehuby.fr/,https://www.facebook.com/cidreriehuby35/,https://www.instagram.com/cidrerie_huby/,https://maps.google.com/?cid=14757172260846963924,,https://untappd.com/w/cidrerie-huby/351358,48.1003741,-2.1023872
18,2017,Cidre Fermier Brut,Ferme des Noës,Normandy,🥇 Or,2887,Active,https://www.fermedesnoes.com/,,https://www.instagram.com/fermedesnoes/,https://maps.google.com/?cid=16067236232754040277,,https://untappd.com/w/ferme-des-no-s/72679,49.1301268,1.3281105
56,2017,Cidre Fermier Brut,La Maison du Cidre,Brittany,🥇 Or,2894,Active,https://www.museeducidre.com/,https://www.facebook.com/profile.php?id=100054446516930,https://www.instagram.com/lamaisonducidre/,https://maps.google.com/?cid=8243314023255302765,https://www.tripadvisor.com/Attraction_Review-g7221524-d7220846,https://untappd.com/w/la-maison-du-cidre/360621,47.5826763,-2.6930847
8,2017,Cidre Fermier Brut,Maison Kerloïck,Brittany,🥇 Or,1598,Active,https://www.kerloick.bzh/,https://www.facebook.com/people/Maison-Kerlo%C3%AFck/100063648757927/,https://www.instagram.com/maison_kerloick/,https://maps.google.com/?cid=8360416368856844083,,https://untappd.com/w/cidrerie-kerloick/400998,48.4395016,-2.4599481
9,2017,Cidre Fermier Brut,Cidrerie Benoit,Brittany,🥈 Argent,2884,Active,https://www.cidreriebenoit.fr/,https://www.facebook.com/CidrerieBenoit/,,https://maps.google.com/?cid=2837012515774011484,,https://untappd.com/w/cidrerie-benoit/548797,48.5308501,-2.5301834
10,2017,Cidre Fermier Brut,Cidrerie Benoit,Brittany,🥈 Argent,2884,Active,https://www.cidreriebenoit.fr/,https://www.facebook.com/CidrerieBenoit/,,https://maps.google.com/?cid=2837012515774011484,,https://untappd.com/w/cidrerie-benoit/548797,48.5308501,-2.5301834
50,2017,Cidre Fermier Brut,Ferme du Theil,Pays de la Loire,🥈 Argent,2879,Active,https://www.fermedutheil.com/,https://www.facebook.com/fermedutheil,https://www.instagram.com/fermedutheil/,https://maps.google.com/?cid=11988918544771126641,,https://untappd.com/w/gaec-rouland-ferme-du-theli/138309,48.159845,-0.826714
24,2017,Cidre Fermier Brut,Francis Vallée,Centre-Val de Loire,🥈 Argent,3485,Active,,,,,,https://untappd.com/w/francis-vallee/339822,48.32080935,0.7707416602
22,2017,Cidre Fermier Brut,La Charterie,Normandy,🥈 Argent,2890,Active,,https://www.facebook.com/p/Cidre-la-Charterie-100063765540203/,,https://maps.google.com/?cid=15951067020462590657,,https://untappd.com/w/pascal-beaumesnil/142429,49.1691675,0.4960907
4,2017,Cidre Fermier Brut,Musée du Cidre,Brittany,🥈 Argent,3479,Active,https://www.museeducidre.fr/,https://www.facebook.com/profile.php?id=100080860116653,,https://maps.google.com/?cid=15427737681446787065,,https://untappd.com/w/musee-du-cidre/352344,48.5139007,-1.9255033
32,2017,Cidre Fermier Demi-Sec ,Cidre Le Brun,Brittany,🥈 Argent,1586,Active,https://cidrelebrun.com/,,https://www.instagram.com/cidrelebrun,https://maps.google.com/?cid=5387381455239409930,,https://untappd.com/brewery/31897,47.925263,-4.344798
26,2017,Cidre Fermier Demi-Sec ,Cidrerie Château Lézergué,Brittany,🥈 Argent,1487,Active,https://www.chateau-lezergue.com/,https://www.facebook.com/profile.php?id=100066917829363,https://www.instagram.com/cidrerie_chateaudelezergue/,https://maps.google.com/?cid=8273125568764221419,,https://untappd.com/w/cidrerie-du-chateau-de-lezergue/127246,48.0028849,-4.0125256
47,2017,Cidre Fermier Demi-Sec ,Cidrerie Huby,Brittany,🥈 Argent,2925,Active,http://www.cidreriehuby.fr/,https://www.facebook.com/cidreriehuby35/,https://www.instagram.com/cidrerie_huby/,https://maps.google.com/?cid=14757172260846963924,,https://untappd.com/w/cidrerie-huby/351358,48.1003741,-2.1023872
