Medalist,Region,🥇 Or,🥈 Argent,🥉 Bronze,🏅 Total,First,Last,Years,Status,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
Cidre Écusson,Normandy,0,1,0,1,2023,2023,1,Active,"<a href=""https://www.cidre-ecusson.com/"">Website</a>","<a href=""https://www.facebook.com/CidreEcusson/"">Facebook</a>","<a href=""https://www.instagram.com/cidreecusson/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16717845515481593007"">Google</a>",,"<a href=""https://untappd.com/w/cidres-ecusson/15641"">Untappd</a>"
Domaine Sicera,Normandy,0,1,0,1,2017,2017,1,Active,"<a href=""https://www.sicera.fr/"">Website</a>","<a href=""https://www.facebook.com/cidresicera"">Facebook</a>","<a href=""https://www.instagram.com/domaine_sicera/"">Instagram</a>","<a href=""https://maps.google.com/?cid=5127145163687533245"">Google</a>",,"<a href=""https://untappd.com/w/sicera/345757"">Untappd</a>"
Ecomusée de la Pomme et du Cidre,Normandy,0,1,0,1,2018,2018,1,Active,"<a href=""https://www.ecomuseeducidre.fr/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=5707167707581907830"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1572450-d3428587"">TripAdvisor</a>","<a href=""https://untappd.com/w/vincent-et-marieclaire-godefroy/207560"">Untappd</a>"
Ferme de Cutesson,Normandy,0,1,0,1,2022,2022,1,Active,,,,"<a href=""https://maps.google.com/?cid=14198095900648884855"">Google</a>",,"<a href=""https://untappd.com/w/ferme-de-cutesson/307176"">Untappd</a>"
Ferme des Martellières,Normandy,0,1,0,1,2018,2018,1,Active,"<a href=""https://www.les-martellieres.com/"">Website</a>","<a href=""https://www.facebook.com/LesMartellieres.ProduitsCidricoles"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=13628777607608573968"">Google</a>",,"<a href=""https://untappd.com/w/les-martellieres/291057"">Untappd</a>"
La Belle Vilaine,Brittany,0,1,0,1,2017,2017,1,Active,,,,"<a href=""https://maps.google.com/?cid=5696528707638308410"">Google</a>",,"<a href=""https://untappd.com/w/la-belle-vilaine/353880"">Untappd</a>"
Les Vergers du Chouquet,Normandy,0,1,0,1,2017,2017,1,Active,,,,"<a href=""https://maps.google.com/?cid=4633427283115041645"">Google</a>",,"<a href=""https://untappd.com/w/les-vergers-du-chouquet/50301"">Untappd</a>"
Les Vergers du Quesnay,Normandy,0,1,0,1,2017,2017,1,Active,"<a href=""https://www.lesvergersduquesnay.fr/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100058435991351"">Facebook</a>","<a href=""https://www.instagram.com/les_vergers_du_quesnay/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15904214834922492181"">Google</a>",,"<a href=""https://untappd.com/w/les-vergers-du-quesnay/228234"">Untappd</a>"
Saveurs et Couleurs,Brittany,0,1,0,1,2018,2018,1,Active,,,,"<a href=""https://maps.google.com/?cid=15349438754951740121"">Google</a>",,
Zathinoé,Normandy,0,1,0,1,2023,2023,1,Active,"<a href=""https://zathinoe.fr/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=2359582709656446462"">Google</a>",,"<a href=""https://untappd.com/w/zathinoe/452758"">Untappd</a>"
Baïo,Centre-Val de Loire,0,0,1,1,2023,2023,1,Active,"<a href=""https://baio28.fr/"">Website</a>","<a href=""https://www.facebook.com/baio28/"">Facebook</a>","<a href=""https://www.instagram.com/baio_off/"">Instagram</a>","<a href=""https://maps.google.com/?cid=6313985933826675426"">Google</a>",,
Cidrerie de Menez-Brug,Brittany,0,0,1,1,2017,2017,1,Active,"<a href=""https://www.cidrerie-de-menez-brug.com/"">Website</a>","<a href=""https://www.facebook.com/cidreriemenezbrug.fr/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=10640223041696316686"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g666452-d15052081"">TripAdvisor</a>","<a href=""https://untappd.com/w/cidrerie-de-menez-brug/150603"">Untappd</a>"
Cidrerie Melenig,Brittany,0,0,1,1,2023,2023,1,Active,,,"<a href=""https://www.instagram.com/cidremelenig/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10374518201153439760"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g6922089-d7330818"">TripAdvisor</a>","<a href=""https://untappd.com/CidrerieMelenig"">Untappd</a>"
Domaine de la Baudrière,Normandy,0,0,1,1,2022,2022,1,Active,"<a href=""https://www.domainedelabaudriere.com/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=7322244985016209912"">Google</a>",,"<a href=""https://untappd.com/w/patrick-gagneur/74614"">Untappd</a>"
François Roger,Normandy,0,0,1,1,2023,2023,1,Active,"<a href=""https://lesvergersdelafouquerie.jimdofree.com/"">Website</a>",,,,,
La Ferme du Gros Caillou,Normandy,0,0,1,1,2024,2024,1,Active,,"<a href=""https://www.facebook.com/lafermedugroscaillou/"">Facebook</a>","<a href=""https://www.instagram.com/ferme_du_gros_caillou/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9123433194153535945"">Google</a>",,"<a href=""https://untappd.com/w/ferme-du-gros-caillou/550303"">Untappd</a>"
Les Vergers de Ducy,Normandy,0,0,1,1,2022,2022,1,Active,"<a href=""https://lesvergersdeducy.fr/"">Website</a>","<a href=""https://www.facebook.com/LesVergersdeDucy/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=5658619103463764772"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g5105596-d5012299"">TripAdvisor</a>","<a href=""https://untappd.com/w/les-vergers-de-ducy/68480"">Untappd</a>"
Total,,119,189,117,425,,,,,,,,,,
