Medalist,Region,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
Gurneys Cider,Victoria,0,1,1,2,"<a href=""https://gurneyscider.com.au/"">Website</a>","<a href=""https://www.facebook.com/gurneyscider"">Facebook</a>","<a href=""https://www.instagram.com/gurneyscidery/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17296225831182939561"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g552172-d15180819"">TripAdvisor</a>","<a href=""https://untappd.com/GurneysCider"">Untappd</a>"
St Ronan's Cider,Victoria,0,1,1,2,"<a href=""https://stronanscider.com.au/"">Website</a>","<a href=""https://www.facebook.com/StRonansCider"">Facebook</a>","<a href=""https://www.instagram.com/st_ronans_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1347860416011573691"">Google</a>",,,"<a href=""https://untappd.com/StRonansCider"">Untappd</a>"
Darkes Cider,New South Wales,0,0,2,2,"<a href=""https://www.darkes.com.au/"">Website</a>","<a href=""https://www.facebook.com/DarkesCider"">Facebook</a>","<a href=""https://www.instagram.com/darkescider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9016868264603406991"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g7786462-d7786279"">TripAdvisor</a>","<a href=""https://untappd.com/w/darkes-cider/93421"">Untappd</a>"
Sydney Brewery,New South Wales,0,0,2,2,"<a href=""https://sydneybrewery.com/"">Website</a>","<a href=""https://www.facebook.com/SydneyBrewery/"">Facebook</a>","<a href=""https://www.instagram.com/sydneybrewery/"">Instagram</a>","<a href=""https://maps.google.com/?cid=6674617705014025022"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g23197656-d15602287"">TripAdvisor</a>","<a href=""https://untappd.com/SydneyBrewhouse"">Untappd</a>"
Borrodell Vineyard,New South Wales,0,0,1,1,"<a href=""https://www.borrodell.com.au/"">Website</a>","<a href=""https://www.facebook.com/BorrodellVineyard/"">Facebook</a>","<a href=""https://www.instagram.com/borrodell_vineyard/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9113164481963775697"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g255326-d4469466"">TripAdvisor</a>","<a href=""https://untappd.com/w/borrodell-vineyard/42488"">Untappd</a>"
Elemental Cider,Wellington,0,0,1,1,"<a href=""https://elementalcider.co.nz/"">Website</a>","<a href=""https://www.facebook.com/elementalcider"">Facebook</a>","<a href=""https://www.instagram.com/elementalcidernz/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/elemental-cider/480974"">Untappd</a>"
Mr Bridges ,Tasmania,0,0,1,1,"<a href=""https://mrbridges.com.au/"">Website</a>","<a href=""https://www.facebook.com/mbcider/"">Facebook</a>","<a href=""https://www.instagram.com/mbcider"">Instagram</a>",,,,"<a href=""https://untappd.com/w/mr-bridges/554227"">Untappd</a>"
PRAH,Tasmania,0,0,1,1,"<a href=""https://www.prah.au/"">Website</a>",,"<a href=""https://www.instagram.com/prah.au/"">Instagram</a>",,,,
Three Oaks Cider,South Australia,0,0,1,1,"<a href=""https://www.threeoakscider.com/"">Website</a>","<a href=""https://www.facebook.com/Threeoakscider"">Facebook</a>","<a href=""https://www.instagram.com/threeoakscider/"">Instagram</a>",,,,"<a href=""https://untappd.com/brewery/16538"">Untappd</a>"
Total,,20,45,97,162,,,,,,,
